coding_id,repo,commit_message,gemini_label,gpt55_label,deepseek_label,claude_label,majority_3plus_label,agreement_count_max
C088,open-quantum-safe/liboqs,Merge branch 'master' of https://github.com/open-quantum-safe/liboqs,D9,D9,D9,D9,D9,4
C089,open-quantum-safe/liboqs,Merge pull request #496 from open-quantum-safe/ds-aes-fix-compilation,D8,D8,D8,D8,D8,4
C090,open-quantum-safe/liboqs,Add Falcon from PQClean (#660),D9,D9,D9,D9,D9,4
C091,wolfSSL/wolfssl,Merge pull request #7740 from JacobBarthelmeh/readme,D9,D9,D9,D9,D9,4
C092,open-quantum-safe/liboqs,Replace the Kyber768 implementation in liboqs master with PQClean's implementation (#466),D9,D9,D9,D9,D9,4
C093,openssl/openssl,ML-DSA: Refactor to use function pointers for AVX2/scalar NTT,D4,D4,D9,D4,D4,3
C094,wolfSSL/wolfssl,Merge pull request #10405 from SparkiDev/mlkem_fixes_1,D9,D9,D9,D9,D9,4
C095,open-quantum-safe/liboqs,Add ML-DSA / FIPS 204 final (#1919),D9,D9,D9,D9,D9,4
C096,open-quantum-safe/oqs-provider,Disable Kyber,D2,D2,D2,D2,D2,4
C097,wolfSSL/wolfssl,Merge pull request #10047 from Frauschi/mldsa_no_ctx,D9,D2,D2,D2,D2,3
C098,wolfSSL/wolfssl,gate dilithium OID autodetection on FIPS 204 draft mode,D2,D2,D8,D2,D2,3
C099,open-quantum-safe/liboqs,PQClean / NTRU Prime update (#1039),D9,D9,D9,D9,D9,4
C100,wolfSSL/wolfssl,Changes inspired by Feedback from Sean.,D9,D9,D9,D9,D9,4
C101,wolfSSL/wolfssl,Dilithium/ML-DSA: Implementation of ML-DSA-44/65/87,D9,D9,D9,D9,D9,4
C102,open-quantum-safe/liboqs,Pull Falcon updates from PQClean (#1523),D9,D9,D9,D9,D9,4
C103,open-quantum-safe/liboqs,Merge branch 'master' of https://github.com/open-quantum-safe/liboqs,D9,D9,D9,D9,D9,4
C104,open-quantum-safe/liboqs,Use explicit_memset if available. NetBSD has support for it: (#1872),D5,D6,D6,D6,D6,3
C105,wolfSSL/wolfssl,Merge pull request #8639 from anhu/cmake_pq,D8,D8,D8,D8,D8,4
C106,open-quantum-safe/liboqs,Merge pull request #491 from open-quantum-safe/ds-update-kems,D9,D9,D9,D9,D9,4
C107,wolfSSL/wolfssl,PQC: CryptoCb support for KEM algorithm Kyber,D2,D2,D2,D2,D2,4
C108,aws/s2n-tls,Merge pull request #1041 from andrewhop/readme,D9,D9,D9,D9,D9,4
C109,open-quantum-safe/oqs-provider,Generate (also historical) (O)ID tables (#167),D9,D2,D9,D9,D9,3
C110,open-quantum-safe/oqs-provider,update Falcon IDs (#125),D2,D2,D9,D2,D2,3
C111,wolfSSL/wolfssl,Merge pull request #7924 from anhu/pqm4_purge,D9,D9,D9,D8,D9,3
C112,wolfSSL/wolfssl,Add LMS	 XMSS and ML-DSA to Wconversion,D8,D8,D8,D8,D8,4
C113,aws/s2n-tls,Add Kyber Round 3 Fuzz Tests (#2958),D9,D9,D9,D9,D9,4
C114,wolfSSL/wolfssl,Aarch64 ASM: Use CPU features for more,D4,D4,D4,D4,D4,4
C115,open-quantum-safe/oqs-provider,Update to ensure hybrid kex interop	 updates for OpenSSL master (#24),D2,D2,D2,D2,D2,4
C116,wolfSSL/wolfssl,Merge pull request #8229 from bigbrett/pqc-macro-protection-quickfix,D8,D8,D9,D8,D8,3
C117,wolfSSL/wolfssl,Merge pull request #6715 from anhu/WOLFSSL_NO_SPHINCS,D8,D2,D8,D8,D8,3
C118,wolfSSL/wolfssl,Fixes for WolfSSL ML-DSA implementation,D9,D9,D9,D9,D9,4
C119,wolfSSL/wolfssl,ML-KEM compatibility,D2,D2,D9,D2,D2,3
C120,wolfSSL/wolfssl,Rename ML-KEM hybrids to match IETF Draft.,D9,D2,D2,D2,D2,3
C121,open-quantum-safe/liboqs,liboqs 0.8.0 release,D9,D9,D9,D9,D9,4
C122,openssl/openssl,ml-kem: update to use improved parameter handling,D2,D2,D2,D2,D2,4
C123,open-quantum-safe/liboqs,Add new KEM API and SIKE (#295),D2,D2,D2,D2,D2,4
C124,wolfSSL/wolfssl,Update key share group ranking algorithm,D2,D2,D2,D2,D2,4
C125,wolfSSL/wolfssl,Merge pull request #8853 from JacobBarthelmeh/pqc,D9,D9,D9,D9,D9,4
C126,open-quantum-safe/liboqs,Merge pull request #563 from open-quantum-safe/vsoftco-patch-1,D9,D9,D9,D9,D9,4
C127,open-quantum-safe/liboqs,Rename algorithms in Dilithium datasheet,D9,D9,D9,D9,D9,4
C128,wolfSSL/wolfssl,Fix inverted logic in Sphincs and Falcon,D9,D7,D7,D7,D7,3
C129,openssl/openssl,s3_lib.c: Use illegal_parameter for failing encapsulation in ml_kem,D7,D7,D7,D7,D7,4
C130,open-quantum-safe/liboqs,Revert 'Update Falcon to 20230207 (PQClean commit 96dfee95cc56207d1ec5e3a2df306d6614ad7c6c) (#1386)' (#1392),D9,D9,D9,D9,D9,4
C131,open-quantum-safe/liboqs,Fix gcc 11 error for Kyber on arm64 (#1127),D8,D8,D8,D8,D8,4
C132,wolfSSL/wolfssl,Explicitly declare dilithium_coeff_eta2[] as signed,D8,D8,D9,D8,D8,3
C133,wolfSSL/wolfssl,Fixes for ML-DSA and LMS cast warnings and spelling errors.,D8,D8,D9,D8,D8,3
C134,wolfSSL/wolfssl,Merge pull request #8947 from SparkiDev/mldsa_openssl_der,D9,D2,D2,D9,NO_3PLUS_MAJORITY,2
C135,wolfSSL/wolfssl,Fixes from regression testing,D9,D9,D9,D9,D9,4
C136,open-quantum-safe/oqs-provider,switch doc to release	 add backlevel liboqs support (#544),D9,D8,D8,D8,D8,3
C137,open-quantum-safe/liboqs,Add section to CONFIGURE.md link (#1578),D9,D9,D9,D9,D9,4
C138,open-quantum-safe/liboqs,Update pytest package version (#2408),D8,D8,D8,D8,D8,4
C139,wolfSSL/wolfssl,dual alg: add ML-DSA test	 and misc cleanup.,D9,D9,D9,D9,D9,4
C140,open-quantum-safe/oqs-provider,fixup! Point CI to liboqs 0.11.0,D8,D8,D8,D8,D8,4
C141,open-quantum-safe/liboqs,Exported liboqs target in CMake and some CI refactoring. (#840),D8,D8,D8,D8,D8,4
C142,wolfSSL/wolfssl,Merge pull request #4419 from anhu/set1_groups_list,D9,D2,D2,D2,D2,3
C143,open-quantum-safe/liboqs,Support OpenSSL on Windows (#915),D8,D8,D8,D8,D8,4
C144,wolfSSL/wolfssl,Merge pull request #6723 from anhu/bench_sphincs_gating,D8,D4,D4,D4,D4,3
C145,openssl/openssl,ml-dsa: use TRIE & struct based param name decoders,D2,D2,D9,D2,D2,3
C146,openssl/openssl,ASN.1 ML-KEM private key format,D9,D2,D2,D9,NO_3PLUS_MAJORITY,2
C147,wolfSSL/wolfssl,Initialize Dilithium keyTypeTemp and keySizeTemp,D1,D7,D9,D7,NO_3PLUS_MAJORITY,2
C148,open-quantum-safe/liboqs,Update mlkem-native to v1.1.0 (#2376),D8,D8,D8,D8,D8,4
C149,open-quantum-safe/liboqs,Fix non-Dilithium-related execute failures on Alpine (#796),D8,D8,D8,D8,D8,4
C150,wolfSSL/wolfssl,HashSLH-DSA APIs now take the pre-hashed digest	 not the raw message,D2,D2,D2,D2,D2,4
C151,open-quantum-safe/oqs-provider,Force liboqs as a debian package dependency requirement only if it is not a static linked library. (#493),D8,D8,D8,D8,D8,4
C152,wolfSSL/wolfssl,Kyber ARM32 ASM: add assembly using base instructions,D4,D4,D9,D4,D4,3
C153,openssl/openssl,Deuglify ML-KEM code after reformat,D9,D9,D9,D9,D9,4
C154,wolfSSL/wolfssl,use heap hint with dilithium benchmark,D4,D5,D5,D5,D5,3
C155,wolfSSL/wolfssl,Fixes for Dilithium in TLS handshake,D9,D7,D9,D9,D9,3
C156,open-quantum-safe/liboqs,Added SHA256 SPHINCS variants to README and removed references to nist-branch from algorithm datasheets.,D9,D9,D9,D9,D9,4
C157,openssl/openssl,ML-DSA: Add TLS certificate test,D9,D9,D9,D9,D9,4
C158,open-quantum-safe/oqs-provider,Move the clang-format check from CircleCI to GitHub actions. (#376),D8,D8,D8,D8,D8,4
C159,open-quantum-safe/liboqs,Merge pull request #505 from open-quantum-safe/ds-default-autoconf,D8,D8,D9,D8,D8,3
C160,openssl/openssl,ml-dsa(fips): add power up signature self tests for ML-DSA-65,D9,D9,D9,D9,D9,4
C161,open-quantum-safe/liboqs,Merge branch 'ds-tests-in-threads' of https://github.com/open-quantum-safe/liboqs into ds-tests-in-threads,D9,D9,D9,D9,D9,4
C162,openssl/openssl,If our server channel creates its own qrx	 set its initial secret,D7,D7,D6,D9,NO_3PLUS_MAJORITY,2
C163,wolfSSL/wolfssl,The following config:,D8,D8,D8,D9,D8,3
C164,wolfSSL/wolfssl,Merge pull request #4664 from anhu/Fix_ENCRYPT_LEN,D1,D1,D1,D1,D1,4
C165,openssl/openssl,ml-dsa: update to use improved parameter handling,D2,D2,D2,D2,D2,4
C166,open-quantum-safe/liboqs,Overhauled compiler-time CPU-extension detection. (#713),D8,D8,D8,D8,D8,4
C167,open-quantum-safe/liboqs,Add OQS_SIG_STFL_keygen_and_sign_supported() for runtime detection (#2434),D2,D2,D2,D2,D2,4
C168,wolfSSL/wolfssl,Merge pull request #9049 from kojiws/import_mldsa_seed_pkcs8_reapply,D9,D2,D2,D9,NO_3PLUS_MAJORITY,2
C169,open-quantum-safe/liboqs,Create liboqs 0.12.0 release candidate 1 (#2006),D9,D9,D9,D9,D9,4
C170,wolfSSL/wolfssl,ML-KEM/Kyber: fix for big-endian,D8,D8,D8,D8,D8,4
C171,openssl/openssl,Fix ML-KEM/ML-DSA macro typo,D8,D8,D7,D9,NO_3PLUS_MAJORITY,2
C172,open-quantum-safe/liboqs,tests: add fuzz harness for XMSS stateful signature verification (#2399) (#2400),D9,D9,D9,D9,D9,4
C173,wolfSSL/wolfssl,Update the wolfCrypt test so that Dilithium init so that devID will get passed to hit callback paths when configured and that Dilithium will be retested in the callback section of the wolfCrypt test.,D9,D9,D9,D9,D9,4
C174,open-quantum-safe/liboqs,Merge pull request #497 from open-quantum-safe/ds-aes-key-schedule,D9,D9,D9,D9,D9,4
C175,openssl/openssl,added use IO::File	 15-test_ml_dsa_codecs.t,D9,D8,D9,D9,D9,3
C176,open-quantum-safe/oqs-provider,fixup! Update linux CI to also build liboqs with -DOQS_LIBJADE_BUILD=OFF,D8,D8,D8,D8,D8,4
C177,openssl/openssl,ML-KEM libcrypto implementation polish,D9,D9,D9,D9,D9,4
C178,open-quantum-safe/oqs-provider,make algorithms selectable by liboqs bitstrength (#156),D2,D2,D2,D2,D2,4
C179,open-quantum-safe/liboqs,Add constant time suppression for Falcon AVX2 (#1415),D6,D6,D6,D6,D6,4
C180,openssl/openssl,ml-dsa: add more to internal header,D9,D9,D9,D9,D9,4
C181,wolfSSL/wolfssl,Have ret initialized to 0 in wc_ecc_free() and wc_dilithium_free(),D5,D7,D7,D7,D7,3
C182,openssl/openssl,Facilitate corruption in ML-DSA PCT,D9,D9,D9,D9,D9,4
C183,Mbed-TLS/mbedtls,Fix leakage of projective coordinates in ECC,D6,D6,D6,D6,D6,4
C184,wolfSSL/wolfssl,Regression testing fixes,D9,D9,D9,D9,D9,4
C185,openssl/openssl,ML-DSA: Add Win64 SEH unwind support to AVX2 NTT functions,D8,D8,D8,D8,D8,4
C186,wolfSSL/wolfssl,enable kyber and dilithium in selftest,D9,D9,D8,D9,D9,3
C187,open-quantum-safe/liboqs,test OQS_SIG_sign methods in vectors_sig (#2350),D9,D9,D9,D9,D9,4
C188,open-quantum-safe/liboqs,Merge commit from fork,D9,D9,D9,D9,D9,4
C189,openssl/openssl,ssl/t1_lib.c: Free gix if sk_TLS_GROUP_IX_push() fails to avoid memory leak,D5,D5,D5,D5,D5,4
C190,open-quantum-safe/liboqs,Merge remote-tracking branch 'oqs/master' into PQClean_Dilithium,D9,D9,D9,D9,D9,4
C191,open-quantum-safe/oqs-provider,remove duplicate LIBOQS_BRANCH option in config doc (#274),D9,D9,D8,D9,D9,3
C192,wolfSSL/wolfssl,add ML-KEM/ML-DSA support for C# wrapper,D2,D2,D2,D9,D2,3
C193,open-quantum-safe/liboqs,fix: correct cuPQC ML-KEM derand symbol names and #if/#elif chains (#2396),D8,D8,D2,D8,D8,3
C194,wolfSSL/wolfssl,Merge pull request #9970 from JacobBarthelmeh/bench,D9,D4,D4,D4,D4,3
C195,open-quantum-safe/liboqs,Sync with PQClean (#817),D9,D9,D9,D9,D9,4
C196,wolfSSL/wolfssl,Increase test coverage,D9,D9,D9,D9,D9,4
C197,open-quantum-safe/liboqs,Pull Neon implementation of Falcon from PQClean (#1547),D4,D4,D9,D4,D4,3
C198,aws/s2n-tls,Importing Kyber PQ KEM (#2056),D9,D9,D2,D9,D9,3
C199,openssl/openssl,fips: add pairwise consistency test for ML-KEM key generation,D9,D9,D9,D9,D9,4
C200,wolfSSL/wolfssl,ML-KEM/ML-DSA: harden against fault attacks,D6,D6,D6,D6,D6,4
