coding_id,repo,commit_sha,commit_message,gemini_label,gpt55_label,deepseek_label,claude_label,claude_confidence,claude_reason,majority_3plus_label,plurality_label,agreement_count_max,all_four_agree,at_least_three_agree,two_two_tie,all_four_different
C031,wolfSSL/wolfssl,b41d46a15833616028c33487c3902e2c843cf740,src/ssl.c and src/ssl_load.c: fix syntax flubs in WOLFSSL_DILITHIUM_FIPS204_DRAFT paths.,D9,D8,D9,D8,medium,Fixing syntax errors in a conditional compile path; build-breaking issue.,,,2,false,false,true,false
C032,wolfSSL/wolfssl,f4821eb0f4f49a04ed2ce6aa0b4541cb2f33794d,Merge pull request #8827 from SparkiDev/ml_kem_codepoints,D2,D2,D9,D2,low,"Branch concerns ML-KEM 'codepoints', likely algorithm identifiers for negotiation.",D2,D2,3,false,true,false,false
C033,openssl/openssl,0ef373bd34f3840d6d8b1aa90342244cb41c0f46,rename ml_dsa_sig.c to ml_dsa_sig.c.in,D9,D9,D9,D8,medium,Rename to .c.in indicates conversion to a build-system template file.,D9,D9,3,false,true,false,false
C034,open-quantum-safe/oqs-provider,7dc61fe7049a3d6c63657e0628d9600220bbe6b4,Cross-compile to linux-aarch64 from linux-x64 in GitHub actions. (#253),D8,D8,D8,D8,high,Explicit CI cross-compilation setup.,D8,D8,4,true,true,false,false
C035,wolfSSL/wolfssl,0983ea9a80fc2930cff419640e6c1e7b4a349e0f,pqc: fix memory type for shared secret storage server side,D5,D5,D5,D5,medium,Fix relates to the memory allocation type used for shared-secret storage.,D5,D5,4,true,true,false,false
C036,wolfSSL/wolfssl,bfad5398b190da3f8e520e9075c29dc428ca37f0,MSVC: replace UINT32_MAX with WOLFSSL_MAX_32BIT in dilithium.c,D8,D8,D8,D8,high,MSVC-specific macro substitution; compiler-portability fix.,D8,D8,4,true,true,false,false
C037,wolfSSL/wolfssl,f1fff73352fc6d43149af78a7411c75161905cf6,tests/api.c: fix readability-uppercase-literal-suffix in rfc9802_verify_one_cert(),D9,D9,D9,D9,high,clang-tidy lint fix.,D9,D9,4,true,true,false,false
C038,wolfSSL/wolfssl,f515916f6818e63bfe45017f31be04eaa0e740cd,Add liboqs integration to CMake build system (#5407),D8,D8,D8,D8,high,Explicit CMake build-system integration.,D8,D8,4,true,true,false,false
C039,wolfSSL/wolfssl,56c20aeda0ddf5427f9e1b3112fec326db4a4401,Rust wrapper: dilithium: remove unnecessary size define presence checks,D1,D9,D9,D9,medium,"Removes redundant preprocessor size-checks; cleanup, not a substantive size defect.",D9,D9,3,false,true,false,false
C040,wolfSSL/wolfssl,3fbbc7c1bbfbb15fb3fc1410b480176a99d07ed3,Fix implicit conversion.,D8,D8,D9,D8,low,Implicit type-conversion fixes are typically compiler-warning/portability issues.,D8,D8,3,false,true,false,false
C041,aws/s2n-tls,67124cb8d1071c81cd6e64976e4b69bd384ddd6d,Add more test cases for multiple certificates by name,D9,D9,D9,D9,high,Adding test cases; test maintenance.,D9,D9,4,true,true,false,false
C042,wolfSSL/wolfssl,a816f329cc47448089f5efdafb4b63d2d6eb74bb,Merge pull request #4856 from anhu/stm32u5,D8,D8,D8,D8,low,Merge of a new platform (STM32U5) support branch; inferred from branch name.,D8,D8,4,true,true,false,false
C043,open-quantum-safe/liboqs,0ddce4e8b22e40858d10676a556148b26f2ad243,Merge pull request #486 from dmjones/link-openssl,D8,D8,D8,D8,low,Branch concerns linking against OpenSSL; build/link inference.,D8,D8,4,true,true,false,false
C044,wolfSSL/wolfssl,20ae10fd8c6358405af6cae90b486c807f16d63c,Merge pull request #8360 from philljj/dual_alg_mldsa,D2,D2,D2,D2,low,Branch concerns dual-algorithm (classical+PQC) ML-DSA support; crypto-agility.,D2,D2,4,true,true,false,false
C045,open-quantum-safe/oqs-provider,af20d054c06822555234f9b53e6b8b3a446bde17,Full OQS project integration (#1),D8,D8,D9,D9,medium,"Initial broad project-integration commit; generic, no specific defect.",,,2,false,false,true,false
C046,wolfSSL/wolfssl,7d42ddae486e5982f139c1a798480f8a12ed9c0f,Kyber/ML-KEM: make both available,D2,D2,D2,D2,medium,Ensuring both naming variants are available; algorithm selection/compat.,D2,D2,4,true,true,false,false
C047,open-quantum-safe/oqs-provider,d5dca7e9e8a17ae291c9d2abdd85286754cc5298,remove default Kyber and Dilithium support (#603),D2,D2,D2,D2,medium,Removing default algorithm support changes the available algorithm set.,D2,D2,4,true,true,false,false
C048,open-quantum-safe/liboqs,769412623cc5b5ce936bdd3d60aad4d32e44a31f,Adding multiple upstream support to doc generation (#1123),D9,D9,D9,D9,high,Documentation-generation tooling change.,D9,D9,4,true,true,false,false
C049,open-quantum-safe/liboqs,2297d7a56d4b51361c8f51e1008f83853c68a449,Dependabot configuration and dependency updates (#2420),D8,D8,D8,D8,high,Explicit dependency/configuration update (Dependabot).,D8,D8,4,true,true,false,false
C050,wolfSSL/wolfssl,05dc9f0449800c43ecc69d973306a7cc20351fd6,Fix memory leak in case of handshake error,D5,D5,D5,D5,high,Explicit memory leak fix.,D5,D5,4,true,true,false,false
C051,openssl/openssl,7057138f0fb3fef022877bb85d0ea9131a01da46,fips: defined for ML-KEM CASTs,D8,D8,D9,D9,medium,FIPS conditional definitions for self-tests; generic compliance work.,,,2,false,false,true,false
C052,wolfSSL/wolfssl,a2635be9e6d645e8d73da09789401fdcf06cc539,wolfCrypt support for external Kyber implementations (liboqs and pqm4),D8,D2,D2,D2,medium,Adds support for external Kyber providers; provider/algorithm flexibility.,D2,D2,3,false,true,false,false
C053,wolfSSL/wolfssl,f863513f3712daf5af88c2c0e324b69dfd6e1deb,Kyber: Improve performance of C implementation,D4,D4,D4,D4,high,Explicit performance improvement to the C implementation.,D4,D4,4,true,true,false,false
C054,open-quantum-safe/liboqs,416778ecc2cd246d02c5684486a7a2489a9d8fbf,Trigger liboqs-java and liboqs-rust downstream CI (#2021),D8,D8,D8,D8,high,CI pipeline trigger for downstream builds.,D8,D8,4,true,true,false,false
C055,wolfSSL/wolfssl,46f6320380b0667ffc152115ede225957f283da1,Fix PQC hybrid KeyShare pointer sanity.,D7,D7,D7,D7,medium,Fixes a pointer validity ('sanity') check in hybrid key-share handling.,D7,D7,4,true,true,false,false
C056,aws/s2n-tls,4d8243d90d0822d11dd3233fa0080df64dc198f1,Add Kyber Round 2 TLS Security Policy (#2138),D9,D9,D2,D2,medium,Adds a named TLS security policy enabling Kyber; algorithm-selection config.,,,2,false,false,true,false
C057,open-quantum-safe/liboqs,045c08e18df761380b3a715f4333076a9b9e8b9c,Merge pull request #521 from open-quantum-safe/ds-sphincs,D9,D9,D9,D9,low,Generic merge adding an algorithm branch; no defect detail.,D9,D9,4,true,true,false,false
C058,open-quantum-safe/liboqs,b2ad3f97c3b80ed5a357be51b928876e9f84bd9a,Fix SPHINCS+ constant-time suppression files (#1480),D6,D6,D6,D6,high,Explicit constant-time suppression-file fix.,D6,D6,4,true,true,false,false
C059,openssl/openssl,3f28cc6e63cdafdea08921abf12066ddfc68e6ec,Test ML-DSA	 SLH-DSA	 and ML-KEM PCT implementations,D9,D9,D9,D9,high,Adding tests for PCT implementations; test maintenance.,D9,D9,4,true,true,false,false
C060,openssl/openssl,4d3d1c9f014dfdef1b49823e3704bc2845ae73fe,ml_dsa_kmgmt: check params against len and not pointers in ml_dsa_key_fromdata,D1,D7,D7,D7,high,Changes validation to check length instead of pointers; explicit check/validation fix.,D7,D7,3,false,true,false,false
C061,wolfSSL/wolfssl,0780fd9719ea695d8bb32aa274c1039832e02270,liboqs: add RNG support for sphincs,D2,D2,D9,D9,medium,"Adding RNG support feature; generic, no specific defect.",,,2,false,false,true,false
C062,open-quantum-safe/liboqs,5f28a2af5d4a8a638149c972516d4f5ef6e36c9c,liboqs 0.6.0-rc1,D9,D9,D9,D9,high,Release-candidate tagging.,D9,D9,4,true,true,false,false
C063,wolfSSL/wolfssl,76b1300adb17bc6efe24a3033020cd3ea71fc4fc,ML-KEM fixes,D9,D9,D9,D9,low,Too vague to assign a specific defect category.,D9,D9,4,true,true,false,false
C064,open-quantum-safe/liboqs,c62031ee75b61c8d402f3d8e04e47300742ed8bb,Include DeriveEncapsulation functionality (Issue #2135) (#2221),D2,D2,D2,D9,medium,Adding new API functionality; generic feature addition.,D2,D2,3,false,true,false,false
C065,wolfSSL/wolfssl,e2b642d4ab597f4b056f30d4d0406ce48aa0cab4,WolfSSL Kyber and CMake fixes,D8,D8,D8,D8,high,Explicit CMake fixes.,D8,D8,4,true,true,false,false
C066,wolfSSL/wolfssl,db6df887a61a01e72366b8ba1fdd35361cb32cd5,Correct kyber levels. Was copy and paste error.,D9,D7,D7,D1,medium,"Copy-paste error in security-level mapping, which determines key/buffer sizes.",,D7,2,false,false,false,false
C067,open-quantum-safe/liboqs,9f308995972f07af5614eb1bf97668eaee157611,Merge pull request #539 from open-quantum-safe/vsoftco-update-contributors,D9,D9,D9,D9,high,Contributors file update.,D9,D9,4,true,true,false,false
C068,wolfSSL/wolfssl,4b00525e90b7db91971c429f13fbbc33d7403be1,Merge pull request #10407 from Frauschi/Wconversion,D8,D8,D8,D8,medium,Branch concerns -Wconversion compiler warnings.,D8,D8,4,true,true,false,false
C069,open-quantum-safe/oqs-provider,15e24d18211e65b7d220acac55d355e1e57f069b,Remove SPHINCS+ (#740),D9,D2,D2,D2,medium,Removing an algorithm changes the available algorithm set/support.,D2,D2,3,false,true,false,false
C070,wolfSSL/wolfssl,3524ece54e58661add62980af941af249bcfd2f5,Fix PQC key exchange with multiple KEM key shares,D2,D2,D9,D2,medium,Fix in key-exchange logic for handling multiple KEM key shares (hybrid negotiation).,D2,D2,3,false,true,false,false
C071,wolfSSL/wolfssl,ef925b8b3071325812a8021b7401dc4424f6225e,wolfcrypt/src/wc_kyber_poly.c: fix bugprone-macro-parentheses for FROM_MSG_BIT.,D9,D8,D9,D9,high,Static-analysis (clang-tidy) lint fix.,D9,D9,3,false,true,false,false
C072,openssl/openssl,a2079b82ba9b78f8a9e76c2f3387c39c0b44d28a,Drop value barrier from ML-DSA reduce_once,D4,D6,D4,D6,medium,Dropping a 'value barrier' typically used to preserve constant-time guarantees.,,,2,false,false,true,false
C073,wolfSSL/wolfssl,00abce3474d564a0d01ee9cde7002c29acac9cf9,Merge pull request #10310 from cconlon/d2iMLDSA,D9,D2,D2,D9,low,"Branch about a DER-decoding helper; generic feature, low detail.",,,2,false,false,true,false
C074,openssl/openssl,d20cbc90e48cdd2a56444fc5d6f244d36362cb49,Fix ML-KEM key equality check when either unset,D7,D7,D7,D7,high,Fixes a key-equality check edge case (unset/null key).,D7,D7,4,true,true,false,false
C075,wolfSSL/wolfssl,85dd923355525864837644df365c146dc42adbda,cryptocb: always run software cleanup in key Free functions,D5,D5,D5,D5,medium,Ensures cleanup always executes in key-Free functions; resource management.,D5,D5,4,true,true,false,false
C076,openssl/openssl,bd8954bfe50b3271475099bcb53565bcb1763e81,ML-DSA: Change ossl_ml_dsa_key_public_from_private() to check that the,D7,D7,D7,D7,high,Adds a validation check to a key-derivation function.,D7,D7,4,true,true,false,false
C077,openssl/openssl,a0fc1ff3481375e710136bbd9a2c45cc8749875f,Teach SSL_trace() about ML-DSA,D9,D9,D9,D9,high,Adds tracing/debug support; diagnostic feature.,D9,D9,4,true,true,false,false
C078,open-quantum-safe/liboqs,2e2ddb4e0493014694820471396984b30d59cf97,Update Kyber and Dilithium from upstream (#1316),D9,D9,D9,D9,high,Upstream algorithm sync; generic maintenance.,D9,D9,4,true,true,false,false
C079,open-quantum-safe/liboqs,7c56bcb6ce356ef06189d80779c391b626ad3e00,Test against all 100 KAT values (#1560),D9,D9,D9,D9,high,Expanding KAT test vectors; test maintenance.,D9,D9,4,true,true,false,false
C080,aws/s2n-tls,ce0234e4116d05936c0847a1d3874f3851e44b3d,Add ML-KEM Feature Probe and Test (#4823),D9,D8,D9,D9,high,Adding feature-probe and test; test/feature maintenance.,D9,D9,3,false,true,false,false
C081,wolfSSL/wolfssl,8a89470422e757de56b03b4b0788247d25a54864,Fix for liboqs on zephyr,D8,D8,D8,D8,medium,Platform-specific (Zephyr RTOS) fix.,D8,D8,4,true,true,false,false
C082,wolfSSL/wolfssl,39d4832b0b75e4f18521d2841e38f38090adae02,Merge pull request #8207 from bigbrett/dilithium-nightly-fixes,D9,D9,D9,D8,low,Branch concerns nightly CI fixes; inferred from branch name.,D9,D9,3,false,true,false,false
C083,wolfSSL/wolfssl,0b18e250edc1f96d17dbadbc8db3ac14ff9a67c9,Merge pull request #6576 from iyanmv/liboqs-1.8,D9,D8,D8,D8,low,Branch concerns a liboqs dependency version bump.,D8,D8,3,false,true,false,false
C084,wolfSSL/wolfssl,211742bfe05fd3af22b6da66ff7f58b4d09206ca,liboqs depends on pthreads now,D8,D8,D8,D8,high,Explicit new dependency (pthreads) requirement.,D8,D8,4,true,true,false,false
C085,wolfSSL/wolfssl,e9292e301f620ff60d57caa253e71dbfc12bc6aa,add _new/_delete API for ML-KEM/ML-DSA,D5,D2,D2,D5,medium,Adds constructor/destructor ('_new/_delete') lifecycle API tied to allocation.,,,2,false,false,true,false
C086,open-quantum-safe/liboqs,77524aea43dd11f138b15f37a67c139f868d8183,Merge pull request #524 from open-quantum-safe/ds-backout-ledakem,D9,D2,D9,D9,medium,Reverting/backing out an algorithm; generic maintenance.,D9,D9,3,false,true,false,false
C087,wolfSSL/wolfssl,5793f626ac33735fffdb7d3581fa069e7e550295,Merge pull request #7677 from Laboratory-for-Safe-and-Secure-Systems/mldsa_fixes,D9,D9,D9,D9,low,Generic 'fixes' merge branch with no defect detail.,D9,D9,4,true,true,false,false
C088,open-quantum-safe/liboqs,095620786c11e14cbd3b50fc9d20ff79293727bb,Merge branch 'master' of https://github.com/open-quantum-safe/liboqs,D9,D9,D9,D9,high,"Pure merge commit, no content signal.",D9,D9,4,true,true,false,false
C089,open-quantum-safe/liboqs,326f5dca3d8889fcc9024ff1f7b954b3fd60aa98,Merge pull request #496 from open-quantum-safe/ds-aes-fix-compilation,D8,D8,D8,D8,medium,Branch concerns fixing an AES compilation issue.,D8,D8,4,true,true,false,false
C090,open-quantum-safe/liboqs,795c1b7932d8e3d44277c7bb1c6c45d091cde1c7,Add Falcon from PQClean (#660),D9,D9,D9,D9,high,Adding new algorithm implementation from upstream source.,D9,D9,4,true,true,false,false
C091,wolfSSL/wolfssl,d6ecaaddbde6c3869858e0704b29ef10bbab6f88,Merge pull request #7740 from JacobBarthelmeh/readme,D9,D9,D9,D9,high,README update.,D9,D9,4,true,true,false,false
C092,open-quantum-safe/liboqs,ab2c96a65e368f964a060c23ec0fddfcca51b740,Replace the Kyber768 implementation in liboqs master with PQClean's implementation (#466),D9,D9,D9,D9,high,Swapping an algorithm's implementation source; refactor/maintenance.,D9,D9,4,true,true,false,false
C093,openssl/openssl,3b3680c63936a0c316d25f783eee7406bca1b320,ML-DSA: Refactor to use function pointers for AVX2/scalar NTT,D4,D4,D9,D4,medium,"Refactor adds runtime dispatch between AVX2/scalar NTT, a performance mechanism.",D4,D4,3,false,true,false,false
C094,wolfSSL/wolfssl,80a04551cfe7a72e4ee4c110aac8562948440d86,Merge pull request #10405 from SparkiDev/mlkem_fixes_1,D9,D9,D9,D9,low,Generic 'fixes' merge branch with no defect detail.,D9,D9,4,true,true,false,false
C095,open-quantum-safe/liboqs,d9c214cc64315e527fd96fe7501203e07b15f7ec,Add ML-DSA / FIPS 204 final (#1919),D9,D9,D9,D9,high,Adding finalized algorithm implementation; feature work.,D9,D9,4,true,true,false,false
C096,open-quantum-safe/oqs-provider,1aacc6ea00711abccb07d1d74d897ccb5ee3e3e9,Disable Kyber,D2,D2,D2,D2,medium,Disabling an algorithm changes available algorithm selection.,D2,D2,4,true,true,false,false
C097,wolfSSL/wolfssl,328822b447a0a60db17929299e6ac5de700b4bc8,Merge pull request #10047 from Frauschi/mldsa_no_ctx,D9,D2,D2,D2,medium,Branch concerns removing a context parameter from the ML-DSA API signature.,D2,D2,3,false,true,false,false
C098,wolfSSL/wolfssl,cceeb776f7d45252dc83986d0809a9b5a36d1059,gate dilithium OID autodetection on FIPS 204 draft mode,D2,D2,D8,D2,low,Conditional gating of OID auto-detection; relates to algorithm identification logic.,D2,D2,3,false,true,false,false
C099,open-quantum-safe/liboqs,a822f0e62d4492afc2fd9d9d86308bb6abec351d,PQClean / NTRU Prime update (#1039),D9,D9,D9,D9,high,Upstream algorithm update; generic maintenance.,D9,D9,4,true,true,false,false
C100,wolfSSL/wolfssl,bcf4dbe697ea3e86fed43c5d5ff472653279ea41,Changes inspired by Feedback from Sean.,D9,D9,D9,D9,low,No technical detail given.,D9,D9,4,true,true,false,false
C101,wolfSSL/wolfssl,3e3a00dafdc1aa5a917c481cf7a09ebc91ad0244,Dilithium/ML-DSA: Implementation of ML-DSA-44/65/87,D9,D9,D9,D9,high,Adding new algorithm parameter-set implementations; feature work.,D9,D9,4,true,true,false,false
C102,open-quantum-safe/liboqs,d14825a7559c72ddb74232fd58f6e34dbee22f71,Pull Falcon updates from PQClean (#1523),D9,D9,D9,D9,high,Upstream algorithm update; generic maintenance.,D9,D9,4,true,true,false,false
C103,open-quantum-safe/liboqs,1ed497ce64530397e52c4c4b1cbcf3dda634e2f8,Merge branch 'master' of https://github.com/open-quantum-safe/liboqs,D9,D9,D9,D9,high,"Pure merge commit, no content signal.",D9,D9,4,true,true,false,false
C104,open-quantum-safe/liboqs,9901a286cac06f6f9513baa8e2b800bd45b8e131,Use explicit_memset if available. NetBSD has support for it: (#1872),D5,D6,D6,D6,medium,explicit_memset guards against secret-clearing code being optimized away.,D6,D6,3,false,true,false,false
C105,wolfSSL/wolfssl,f6434cf712874446dcedbbdf3c7998daffb84dc2,Merge pull request #8639 from anhu/cmake_pq,D8,D8,D8,D8,medium,Branch concerns CMake integration for PQC.,D8,D8,4,true,true,false,false
C106,open-quantum-safe/liboqs,37579e12f3ec2c4a249bd296d6384b870babeb01,Merge pull request #491 from open-quantum-safe/ds-update-kems,D9,D9,D9,D9,low,Generic KEM-update merge branch; no defect detail.,D9,D9,4,true,true,false,false
C107,wolfSSL/wolfssl,4d259da60a5d57c443267aa2eab53ea712edc075,PQC: CryptoCb support for KEM algorithm Kyber,D2,D2,D2,D2,medium,Adds pluggable crypto-callback ('provider') support for the Kyber KEM.,D2,D2,4,true,true,false,false
C108,aws/s2n-tls,7268d0afc3db4b997f00a64005ccd244df0ce59d,Merge pull request #1041 from andrewhop/readme,D9,D9,D9,D9,high,README update merge.,D9,D9,4,true,true,false,false
C109,open-quantum-safe/oqs-provider,4bf202bdbe4a1c9dbb7e88ccd0636c9848d90afc,Generate (also historical) (O)ID tables (#167),D9,D2,D9,D9,low,"Generating OID identifier tables; tooling/generic, some algorithm-ID relevance.",D9,D9,3,false,true,false,false
C110,open-quantum-safe/oqs-provider,c71c2ada31dd42c7226add0e408c23b0b5a22832,update Falcon IDs (#125),D2,D2,D9,D2,low,Updating algorithm identifiers; relates to algorithm identification.,D2,D2,3,false,true,false,false
C111,wolfSSL/wolfssl,80a63a3fce9e6931a3434217a8dc2c9e3bd81cef,Merge pull request #7924 from anhu/pqm4_purge,D9,D9,D9,D8,medium,Removing an external library dependency (pqm4).,D9,D9,3,false,true,false,false
C112,wolfSSL/wolfssl,da427efd89627f42c2d27636663b64c31f2ebcd1,Add LMS	 XMSS and ML-DSA to Wconversion,D8,D8,D8,D8,medium,Adding algorithms to a compiler-warning (-Wconversion) suppression list.,D8,D8,4,true,true,false,false
C113,aws/s2n-tls,7bd4efbf42b9fe8584b8e80b213428d9a1c4ae1e,Add Kyber Round 3 Fuzz Tests (#2958),D9,D9,D9,D9,high,Adding fuzz tests; test maintenance.,D9,D9,4,true,true,false,false
C114,wolfSSL/wolfssl,7d3ee74a71f3314aca15cfab9df711cf72808bb3,Aarch64 ASM: Use CPU features for more,D4,D4,D4,D4,medium,Using CPU features in assembly is a performance optimization.,D4,D4,4,true,true,false,false
C115,open-quantum-safe/oqs-provider,a8c001ec3a77e81bd9ee760c486b456dc0fb89eb,Update to ensure hybrid kex interop	 updates for OpenSSL master (#24),D2,D2,D2,D2,high,Explicitly about hybrid key-exchange interoperability.,D2,D2,4,true,true,false,false
