finding_id,rule,file,line,message,assisted_verdict,confidence,rationale,review_method
liboqs_016,R03,src/sig/uov/pqov_ov_V_pkc_skc_neon/sign.c,28,Stack-allocated crypto buffer 'sk_seed' of large size (LEN_SKSEED) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_017,R04,src/sig/snova/snova_SNOVA_24_5_5_neon/oqs_snova.c,43,Return value of cryptographic function 'OQS_randombytes' is unchecked.,TP,medium,Unchecked status on cryptographic/protocol operation.,deterministic_external_assisted_triage
liboqs_018,R03,src/sig/cross/upcross_cross-rsdpg-256-balanced_clean/CROSS.c,326,Stack-allocated crypto buffer 'digest_chall_1' of large size (HASH_DIGEST_LENGTH) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_019,R01,src/sig/snova/sig_snova.h,89,Hardcoded key/buffer size macro 'OQS_SIG_snova_SNOVA_56_25_2_length_signature' value (178) is below PQC minimum requirements.,TP,medium,"Explicit public-key, secret-key, signature, or ciphertext size macro relevant to PQC migration.",deterministic_external_assisted_triage
liboqs_020,R01,src/sig/mqom/mqom_mqom_common/enc_liboqs.h,111,Hardcoded key array size (16 bytes) for 'ct6' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
liboqs_021,R03,src/sig/snova/snova_SNOVA_25_8_3_avx2/snova_plasma_vec_gnl_sign.h,76,Stack-allocated crypto buffer 'pt_private_key_seed' of large size (seed_length_private) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_022,R03,src/sig/cross/upcross_cross-rsdp-256-balanced_clean/CROSS.c,46,Stack-allocated crypto buffer 'seed_pk' of large size (KEYPAIR_SEED_LENGTH_BYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_023,R03,src/sig/snova/snova_SNOVA_24_5_4_SHAKE_esk_neon/oqs_snova.c,39,Stack-allocated crypto buffer 'salt' of large size (bytes_salt) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_024,R04,src/sig/slh_dsa/wrappers/prehash_sha2_256/slh_dsa_sha2_256_prehash_shake_128s.c,41,Return value of cryptographic function 'OQS_randombytes' is unchecked.,TP,medium,Unchecked status on cryptographic/protocol operation.,deterministic_external_assisted_triage
liboqs_025,R01,src/kem/hqc/pqc-hqc_hqc-5_ref/symmetric.h,65,Hardcoded key/buffer size macro 'HQC_I_FCT_DOMAIN' value (2) is below PQC minimum requirements.,REVIEW,low,Macro-size warning needs source-context confirmation before being counted as actionable.,deterministic_external_assisted_triage
liboqs_026,R03,src/sig/snova/snova_SNOVA_56_25_2_neon/oqs_snova.c,15,Stack-allocated crypto buffer 'seed_pair' of large size (seed_length) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_027,R03,src/sig/ml_dsa/mldsa-native_ml-dsa-87_ref/mldsa/src/sign.c,136,Stack-allocated crypto buffer 'sk' of large size (MLDSA_CRYPTO_SECRETKEYBYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_028,R01,src/sig/mqom/mqom_mqom_common/rijndael_ct64.c,462,Hardcoded key array size (16 bytes) for 'cipherText1' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
liboqs_029,R03,src/sig/snova/snova_SNOVA_49_11_3_neon/oqs_snova.c,64,Stack-allocated crypto buffer 'digest' of large size (SNOVA_BYTES_DIGEST) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_030,R04,src/sig/slh_dsa/wrappers/prehash_sha2_512/slh_dsa_sha2_512_prehash_shake_128f.c,61,Return value of cryptographic function 'OQS_randombytes' is unchecked.,TP,medium,Unchecked status on cryptographic/protocol operation.,deterministic_external_assisted_triage
liboqs_031,R01,src/sig/mqom/mqom_mqom_common/rijndael.h,659,Hardcoded key array size (16 bytes) for 'key6' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
liboqs_032,R02,src/sig_stfl/lms/external/hss_generate.c,434,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_033,R03,src/kem/kyber/pqcrystals-kyber_kyber512_avx2/poly.c,377,Stack-allocated crypto buffer 'seed' of large size (KYBER_SYMBYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_034,R03,src/sig/ml_dsa/mldsa-native_ml-dsa-65_ref/mldsa/src/sign.c,1409,Stack-allocated crypto buffer 'pk' of large size (MLDSA_CRYPTO_PUBLICKEYBYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_035,R03,src/sig_stfl/lms/external/hss_keygen.c,291,Stack-allocated crypto buffer 'root_hash' of large size (MAX_HASH) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_036,R04,src/sig/ml_dsa/mldsa-native_ml-dsa-87_x86_64/integration/liboqs/config_x86_64.h,181,Return value of cryptographic function 'OQS_randombytes' is unchecked.,TP,medium,Unchecked status on cryptographic/protocol operation.,deterministic_external_assisted_triage
liboqs_037,R03,src/sig/snova/snova_SNOVA_37_8_4_opt/oqs_snova.c,15,Stack-allocated crypto buffer 'seed_pair' of large size (seed_length) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_038,R03,src/sig/ml_dsa/mldsa-native_ml-dsa-87_aarch64/mldsa/src/sign.c,512,Stack-allocated crypto buffer 'sig' of large size (MLDSA_CRYPTO_BYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_039,R01,src/sig/cross/sig_cross.h,49,Hardcoded key/buffer size macro 'OQS_SIG_cross_rsdp_192_balanced_length_secret_key' value (48) is below PQC minimum requirements.,TP,medium,"Explicit public-key, secret-key, signature, or ciphertext size macro relevant to PQC migration.",deterministic_external_assisted_triage
liboqs_040,R03,src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/packing.c,157,Stack-allocated crypto buffer 'sig' of large size (MLDSA_CRYPTO_BYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_041,R01,src/sig/cross/upcross_cross-rsdpg-256-small_clean/set.h,4,Hardcoded key/buffer size macro 'SIG_SIZE' value (1) is below PQC minimum requirements.,REVIEW,low,Macro-size warning needs source-context confirmation before being counted as actionable.,deterministic_external_assisted_triage
liboqs_042,R01,src/kem/hqc/pqc-hqc_hqc-5_ref/symmetric.h,70,Hardcoded key/buffer size macro 'HQC_J_FCT_DOMAIN' value (3) is below PQC minimum requirements.,REVIEW,low,Macro-size warning needs source-context confirmation before being counted as actionable.,deterministic_external_assisted_triage
liboqs_043,R03,src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,135,Stack-allocated crypto buffer 'pk' of large size (MLDSA_CRYPTO_PUBLICKEYBYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_044,R04,src/sig/slh_dsa/wrappers/prehash_shake_128/slh_dsa_shake_128_prehash_shake_128s.c,96,Return value of cryptographic function 'OQS_randombytes' is unchecked.,TP,medium,Unchecked status on cryptographic/protocol operation.,deterministic_external_assisted_triage
liboqs_045,R03,src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c,312,Stack-allocated crypto buffer 'pk' of large size (MLDSA_CRYPTO_PUBLICKEYBYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_046,R03,src/kem/hqc/pqc-hqc_hqc-3_ref/symmetric.c,164,Stack-allocated crypto buffer 'hash_ek_kem' of large size (SEED_BYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_047,R07,src/sig/uov/pqov_ov_Ip_neon/ov_keypair.c,209,Return contract violation: variable 'r' stores crypto result but is returned without validation.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_048,R01,src/sig/snova/snova_SNOVA_37_17_2_neon/params.h,9,Hardcoded key/buffer size macro 'PK_EXPAND_SHAKE' value (1) is below PQC minimum requirements.,FP,medium,Likely symmetric/hash working size rather than a PQC migration buffer.,deterministic_external_assisted_triage
liboqs_049,R07,src/sig/snova/snova_SNOVA_24_5_5_neon/snova.c,229,Return contract violation: variable 'res' stores crypto result but is returned without validation.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_050,R03,src/sig/cross/upcross_cross-rsdp-128-balanced_clean/seedtree.c,247,Stack-allocated crypto buffer 'flags_tree_to_publish' of large size (NUM_NODES_SEED_TREE) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_051,R03,src/sig/mqom/mqom_mqom_common/ggm_tree.c,665,Stack-allocated crypto buffer 'tweaked_salt' of large size (MQOM2_PARAM_SALT_SIZE) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_052,R05,src/sig/falcon/sig_falcon_padded_512.c,66,Direct call to algorithm-specific API 'PQCLEAN_FALCONPADDED512_AARCH64_crypto_sign_keypair'.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_053,R01,src/sig/mqom/mqom_mqom_common/rijndael_ref.h,103,Hardcoded key array size (16 bytes) for 'cipherText7' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
liboqs_054,R03,src/kem/ml_kem/mlkem-native_ml-kem-1024_ref/mlkem/src/indcpa.c,79,Stack-allocated crypto buffer 'packedpk' of large size (MLKEM_INDCPA_PUBLICKEYBYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_055,R07,src/sig/snova/snova_SNOVA_49_11_3_opt/snova.c,229,Return contract violation: variable 'res' stores crypto result but is returned without validation.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_056,R01,src/sig/uov/pqov_ov_V_ref/params.h,42,Hardcoded key/buffer size macro '_PUB_M' value (44) is below PQC minimum requirements.,REVIEW,low,Macro-size warning needs source-context confirmation before being counted as actionable.,deterministic_external_assisted_triage
liboqs_057,R03,src/sig/cross/upcross_cross-rsdpg-256-small_avx2/seedtree.c,277,Stack-allocated crypto buffer 'salt' of large size (SALT_LENGTH_BYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_058,R03,src/sig/snova/snova_SNOVA_29_6_5_avx2/oqs_snova.c,39,Stack-allocated crypto buffer 'salt' of large size (bytes_salt) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_059,R03,src/sig/snova/snova_SNOVA_24_5_4_SHAKE_neon/oqs_snova.c,39,Stack-allocated crypto buffer 'salt' of large size (bytes_salt) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_060,R01,src/sig/mqom/mqom_mqom_common/enc_local.h,774,Hardcoded key array size (24 bytes) for 'ct2' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
liboqs_061,R01,src/sig/mqom/mqom_mqom_common/enc_mupq.h,369,Hardcoded key array size (16 bytes) for 'ct7' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
liboqs_062,R04,src/sig/ml_dsa/mldsa-native_ml-dsa-65_aarch64/integration/liboqs/config_aarch64.h,179,Return value of cryptographic function 'OQS_randombytes' is unchecked.,TP,medium,Unchecked status on cryptographic/protocol operation.,deterministic_external_assisted_triage
liboqs_063,R03,src/kem/ml_kem/mlkem-native_ml-kem-1024_x86_64/mlkem/src/kem.c,137,Stack-allocated crypto buffer 'sk' of large size (MLKEM_INDCCA_SECRETKEYBYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_064,R01,src/sig/uov/pqov_ov_V_pkc_skc_neon/params.h,42,Hardcoded key/buffer size macro '_PUB_M' value (44) is below PQC minimum requirements.,REVIEW,low,Macro-size warning needs source-context confirmation before being counted as actionable.,deterministic_external_assisted_triage
liboqs_065,R03,src/sig/snova/snova_SNOVA_56_25_2_opt/snova_opt.h,601,Stack-allocated crypto buffer 'hash_in_bytes' of large size (bytes_hash) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_066,R03,src/kem/ml_kem/mlkem-native_ml-kem-1024_aarch64/mlkem/src/indcpa.c,60,Stack-allocated crypto buffer 'seed' of large size (MLKEM_SYMBYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_067,R01,src/sig/cross/upcross_cross-rsdpg-128-balanced_clean/api.h,46,Hardcoded key/buffer size macro 'PQCLEAN_CROSSRSDPG128BALANCED_CLEAN_CRYPTO_PUBLICKEYBYTES' value (54) is below PQC minimum requirements.,TP,medium,"Explicit public-key, secret-key, signature, or ciphertext size macro relevant to PQC migration.",deterministic_external_assisted_triage
liboqs_068,R07,src/sig/ml_dsa/mldsa-native_ml-dsa-87_aarch64/mldsa/src/sign.c,1238,Return contract violation: variable 'ret' stores crypto result but is returned without validation.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_069,R07,src/sig/uov/pqov_ov_Ip_pkc_neon/ov.c,218,Return contract violation: variable 'rc' stores crypto result but is returned without validation.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_070,R04,src/sig/slh_dsa/wrappers/prehash_sha2_224/slh_dsa_sha2_224_prehash_shake_128f.c,41,Return value of cryptographic function 'OQS_randombytes' is unchecked.,TP,medium,Unchecked status on cryptographic/protocol operation.,deterministic_external_assisted_triage
liboqs_071,R01,src/sig/mqom/mqom_mqom_common/rijndael_table.h,116,Hardcoded key array size (32 bytes) for 'cipherText3' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
liboqs_072,R03,src/sig/uov/pqov_ov_Is_pkc_skc_ref/ov.c,193,Stack-allocated crypto buffer 'digest_ck' of large size (_PUB_M_BYTE) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_073,R01,src/sig/mqom/mqom_mqom_common/enc_local.h,24,Hardcoded key array size (16 bytes) for 'key' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
liboqs_074,R02,tests/kat_sig_stfl.c,270,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,REVIEW,low,"Test/example/benchmark/fuzz path; useful for rule behavior, but not counted as production precision evidence.",deterministic_external_assisted_triage
liboqs_075,R07,src/kem/classic_mceliece/pqclean_mceliece348864f_clean/crypto_uint64.c,44,Return contract violation: variable 'crypto_uint64_z' stores crypto result but is returned without validation.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_076,R04,src/sig/slh_dsa/wrappers/prehash_sha2_384/slh_dsa_sha2_384_prehash_shake_256s.c,41,Return value of cryptographic function 'OQS_randombytes' is unchecked.,TP,medium,Unchecked status on cryptographic/protocol operation.,deterministic_external_assisted_triage
liboqs_077,R01,src/sig/mqom/mqom_mqom_common/enc_local.h,952,Hardcoded key array size (32 bytes) for 'ct2' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
liboqs_078,R03,src/sig/snova/snova_SNOVA_60_10_4_avx2/snova_plasma_vec_gnl_sign.h,84,Stack-allocated crypto buffer 'signed_hash' of large size (bytes_hash) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_079,R03,src/kem/ml_kem/mlkem-native_ml-kem-1024_ref/mlkem/src/kem.c,378,Stack-allocated crypto buffer 'sk' of large size (MLKEM_INDCCA_SECRETKEYBYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_080,R01,src/sig/mqom/mqom_mqom_common/enc_local.h,986,Hardcoded key array size (32 bytes) for 'ct7' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
liboqs_081,R03,src/sig/cross/upcross_cross-rsdp-128-small_avx2/seedtree.c,281,Stack-allocated crypto buffer 'flags_tree_to_publish' of large size (NUM_NODES_SEED_TREE) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_082,R03,src/sig/mqom/mqom_mqom_common/seed_commit_memopt.h,76,Stack-allocated crypto buffer 'salt' of large size (MQOM2_PARAM_SALT_SIZE) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_083,R03,src/kem/kyber/pqcrystals-kyber_kyber1024_avx2/poly.c,377,Stack-allocated crypto buffer 'seed' of large size (KYBER_SYMBYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_084,R03,src/sig/mqom/mqom_mqom_common/ggm_tree.c,139,Stack-allocated crypto buffer 'seed3' of large size (MQOM2_PARAM_SEED_SIZE) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_085,R07,src/kem/classic_mceliece/pqclean_mceliece6688128_avx2/crypto_int32.c,41,Return contract violation: variable 'crypto_int32_z' stores crypto result but is returned without validation.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_086,R07,src/sig/uov/pqov_ov_Is_neon/ov.c,218,Return contract violation: variable 'rc' stores crypto result but is returned without validation.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_087,R01,src/sig/mqom/mqom_mqom_common/rijndael_external.h,86,Hardcoded key array size (16 bytes) for 'cipherText7' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
liboqs_088,R01,src/sig/mqom/mqom_mqom_common/rijndael_aes_ni.h,93,Hardcoded key array size (16 bytes) for 'cipherText4' is insufficient for PQC.,FP,medium,Likely symmetric/hash working size rather than a PQC migration buffer.,deterministic_external_assisted_triage
liboqs_089,R01,src/sig/mqom/mqom_mqom_common/rijndael.h,743,Hardcoded key array size (32 bytes) for 'key8' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
liboqs_090,R03,src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/packing.c,168,Stack-allocated crypto buffer 'sig' of large size (MLDSA_CRYPTO_BYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_091,R01,src/sig/falcon/pqclean_falcon-padded-1024_avx2/inner.h,711,Hardcoded key/buffer size macro 'FALCON_KEYGEN_TEMP_4' value (448) is below PQC minimum requirements.,REVIEW,low,Macro-size warning needs source-context confirmation before being counted as actionable.,deterministic_external_assisted_triage
liboqs_092,R01,src/sig/mqom/mqom_mqom_common/rijndael_ct64.c,712,Hardcoded key array size (16 bytes) for 'cipherText7' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
liboqs_093,R03,src/kem/hqc/pqc-hqc_hqc-1_ref/kem.c,45,Stack-allocated crypto buffer 'seed_pke' of large size (SEED_BYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_094,R03,src/sig/uov/pqov_ov_Ip_pkc_avx2/ov.c,193,Stack-allocated crypto buffer 'digest_ck' of large size (_PUB_M_BYTE) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_095,R07,src/sig/ml_dsa/mldsa-native_ml-dsa-87_x86_64/mldsa/src/sign.c,1415,Return contract violation: variable 'ret' stores crypto result but is returned without validation.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_096,R03,src/sig/cross/upcross_cross-rsdpg-192-balanced_avx2/csprng_hash.h,261,Stack-allocated crypto buffer 'digest_3' of large size (HASH_DIGEST_LENGTH) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_097,R03,src/sig/mqom/mqom_mqom_common/prg.c,157,Stack-allocated crypto buffer 'salt' of large size (MQOM2_PARAM_SALT_SIZE) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_098,R05,src/sig/falcon/sig_falcon_padded_1024.c,92,Direct call to algorithm-specific API 'PQCLEAN_FALCONPADDED1024_AARCH64_crypto_sign_signature'.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_099,R01,src/sig/uov/pqov_ov_V_pkc_skc_avx2/params.h,49,Hardcoded key/buffer size macro '_PUB_M' value (72) is below PQC minimum requirements.,REVIEW,low,Macro-size warning needs source-context confirmation before being counted as actionable.,deterministic_external_assisted_triage
liboqs_100,R03,src/sig/cross/upcross_cross-rsdpg-192-balanced_clean/CROSS.c,157,Stack-allocated crypto buffer 'root_seed' of large size (SEED_LENGTH_BYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_101,R07,src/sig/uov/pqov_ov_V_pkc_neon/ov.c,218,Return contract violation: variable 'rc' stores crypto result but is returned without validation.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_102,R01,src/sig/mqom/mqom_mqom_common/rijndael_ref.h,103,Hardcoded key array size (16 bytes) for 'cipherText5' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
