finding_id,rule,file,line,message,code_snippet,assisted_verdict,confidence,rationale,review_method
mbedtls_010,R01,include/mbedtls/config_adjust_legacy_from_psa.h,737,Hardcoded key/buffer size macro 'PSA_HAVE_SOFT_KEY_TYPE_CAMELLIA' value (1) is below PQC minimum requirements.,"     734: 
     735: #if defined(PSA_WANT_KEY_TYPE_CAMELLIA)
     736: #if !defined(MBEDTLS_PSA_ACCEL_KEY_TYPE_CAMELLIA)
>>>  737: #define PSA_HAVE_SOFT_KEY_TYPE_CAMELLIA 1
     738: #endif /* !MBEDTLS_PSA_ACCEL_KEY_TYPE_CAMELLIA */
     739: #if defined(PSA_HAVE_SOFT_KEY_TYPE_CAMELLIA) || \
     740:     defined(PSA_HAVE_SOFT_BLOCK_MODE)",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_011,R01,include/mbedtls/config_adjust_psa_from_legacy.h,59,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_BASIC' value (1) is below PQC minimum requirements.,"      56: #endif /* MBEDTLS_ECDSA_C */
      57: 
      58: #if defined(MBEDTLS_ECP_C)
>>>   59: #define PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_BASIC 1
      60: #define PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_IMPORT 1
      61: #define PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_EXPORT 1
      62: #define PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_GENERATE 1",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_012,R01,include/mbedtls/config_adjust_psa_from_legacy.h,68,Hardcoded key/buffer size macro 'MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_IMPORT' value (1) is below PQC minimum requirements.,"      65:  * it anyway for the sake of backwards compatibility */
      66: #define PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_DERIVE 1
      67: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_BASIC 1
>>>   68: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_IMPORT 1
      69: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_EXPORT 1
      70: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_GENERATE 1
      71: /* See comment for PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_DERIVE above. */",TP,low,Potential migration-relevant size/configuration limit touching public-key or key-exchange material.,llm_assisted_static_audit
mbedtls_013,R01,include/mbedtls/config_adjust_psa_from_legacy.h,81,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_DH_KEY_PAIR_GENERATE' value (1) is below PQC minimum requirements.,"      78: #define PSA_WANT_KEY_TYPE_DH_KEY_PAIR_BASIC 1
      79: #define PSA_WANT_KEY_TYPE_DH_KEY_PAIR_IMPORT 1
      80: #define PSA_WANT_KEY_TYPE_DH_KEY_PAIR_EXPORT 1
>>>   81: #define PSA_WANT_KEY_TYPE_DH_KEY_PAIR_GENERATE 1
      82: #define PSA_WANT_KEY_TYPE_DH_PUBLIC_KEY 1
      83: #define PSA_WANT_ALG_FFDH 1
      84: #define PSA_WANT_DH_RFC7919_2048 1",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_014,R01,include/mbedtls/config_adjust_psa_from_legacy.h,90,Hardcoded key/buffer size macro 'MBEDTLS_PSA_BUILTIN_KEY_TYPE_DH_KEY_PAIR_BASIC' value (1) is below PQC minimum requirements.,"      87: #define PSA_WANT_DH_RFC7919_6144 1
      88: #define PSA_WANT_DH_RFC7919_8192 1
      89: #define MBEDTLS_PSA_BUILTIN_ALG_FFDH 1
>>>   90: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_DH_KEY_PAIR_BASIC 1
      91: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_DH_KEY_PAIR_IMPORT 1
      92: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_DH_KEY_PAIR_EXPORT 1
      93: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_DH_KEY_PAIR_GENERATE 1",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_015,R01,include/mbedtls/config_adjust_psa_from_legacy.h,170,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_BASIC' value (1) is below PQC minimum requirements.,"     167: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_KEY_PAIR_BASIC 1
     168: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_KEY_PAIR_IMPORT 1
     169: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_KEY_PAIR_EXPORT 1
>>>  170: #define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_BASIC 1
     171: #define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_IMPORT 1
     172: #define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_EXPORT 1
     173: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_PUBLIC_KEY 1",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_016,R01,include/mbedtls/config_adjust_psa_from_legacy.h,225,Hardcoded key/buffer size macro 'MBEDTLS_PSA_BUILTIN_KEY_TYPE_CAMELLIA' value (1) is below PQC minimum requirements.,"     222: 
     223: #if defined(MBEDTLS_CAMELLIA_C)
     224: #define PSA_WANT_KEY_TYPE_CAMELLIA 1
>>>  225: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_CAMELLIA 1
     226: #endif
     227: 
     228: #if defined(MBEDTLS_DES_C)",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_017,R01,include/mbedtls/config_adjust_psa_from_legacy.h,229,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_DES' value (1) is below PQC minimum requirements.,"     226: #endif
     227: 
     228: #if defined(MBEDTLS_DES_C)
>>>  229: #define PSA_WANT_KEY_TYPE_DES 1
     230: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_DES 1
     231: #endif
     232: ",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_018,R01,include/mbedtls/des.h,366,Hardcoded key array size (32 bytes) for 'SK' is insufficient for PQC.,"     363:  *                 security risk. We recommend considering stronger ciphers
     364:  *                 instead.
     365:  */
>>>  366: void mbedtls_des_setkey(uint32_t SK[32],
     367:                         const unsigned char key[MBEDTLS_DES_KEY_SIZE]);
     368: 
     369: #if defined(MBEDTLS_SELF_TEST)",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_019,R01,include/mbedtls/pk.h,204,Hardcoded key/buffer size macro 'MBEDTLS_PK_DEBUG_MAX_ITEMS' value (3) is below PQC minimum requirements.,"     201: } mbedtls_pk_debug_item;
     202: 
     203: /** Maximum number of item send for debugging, plus 1 */
>>>  204: #define MBEDTLS_PK_DEBUG_MAX_ITEMS 3
     205: 
     206: /**
     207:  * \brief           Public key information and operations",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_020,R01,include/mbedtls/ssl.h,330,Hardcoded key/buffer size macro 'MBEDTLS_SSL_CERT_REQ_CA_LIST_ENABLED' value (1) is below PQC minimum requirements.,"     327: #define MBEDTLS_SSL_PRESET_DEFAULT              0
     328: #define MBEDTLS_SSL_PRESET_SUITEB               2
     329: 
>>>  330: #define MBEDTLS_SSL_CERT_REQ_CA_LIST_ENABLED       1
     331: #define MBEDTLS_SSL_CERT_REQ_CA_LIST_DISABLED      0
     332: 
     333: #define MBEDTLS_SSL_EARLY_DATA_DISABLED        0",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_021,R01,include/mbedtls/ssl.h,475,Hardcoded key/buffer size macro 'MBEDTLS_SSL_SIG_RSA' value (1) is below PQC minimum requirements.,"     472: #define MBEDTLS_SSL_HASH_SHA512              6
     473: 
     474: #define MBEDTLS_SSL_SIG_ANON                 0
>>>  475: #define MBEDTLS_SSL_SIG_RSA                  1
     476: #define MBEDTLS_SSL_SIG_ECDSA                3
     477: 
     478: /*",TP,low,Potential migration-relevant size/configuration limit touching public-key or key-exchange material.,llm_assisted_static_audit
mbedtls_022,R01,include/mbedtls/ssl.h,539,Hardcoded key/buffer size macro 'MBEDTLS_SSL_ALERT_MSG_NO_CERT' value (41) is below PQC minimum requirements.,"     536: #define MBEDTLS_SSL_ALERT_MSG_RECORD_OVERFLOW       22  /* 0x16 */
     537: #define MBEDTLS_SSL_ALERT_MSG_DECOMPRESSION_FAILURE 30  /* 0x1E */
     538: #define MBEDTLS_SSL_ALERT_MSG_HANDSHAKE_FAILURE     40  /* 0x28 */
>>>  539: #define MBEDTLS_SSL_ALERT_MSG_NO_CERT               41  /* 0x29 */
     540: #define MBEDTLS_SSL_ALERT_MSG_BAD_CERT              42  /* 0x2A */
     541: #define MBEDTLS_SSL_ALERT_MSG_UNSUPPORTED_CERT      43  /* 0x2B */
     542: #define MBEDTLS_SSL_ALERT_MSG_CERT_REVOKED          44  /* 0x2C */",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_023,R01,include/mbedtls/ssl.h,544,Hardcoded key/buffer size macro 'MBEDTLS_SSL_ALERT_MSG_CERT_UNKNOWN' value (46) is below PQC minimum requirements.,"     541: #define MBEDTLS_SSL_ALERT_MSG_UNSUPPORTED_CERT      43  /* 0x2B */
     542: #define MBEDTLS_SSL_ALERT_MSG_CERT_REVOKED          44  /* 0x2C */
     543: #define MBEDTLS_SSL_ALERT_MSG_CERT_EXPIRED          45  /* 0x2D */
>>>  544: #define MBEDTLS_SSL_ALERT_MSG_CERT_UNKNOWN          46  /* 0x2E */
     545: #define MBEDTLS_SSL_ALERT_MSG_ILLEGAL_PARAMETER     47  /* 0x2F */
     546: #define MBEDTLS_SSL_ALERT_MSG_UNKNOWN_CA            48  /* 0x30 */
     547: #define MBEDTLS_SSL_ALERT_MSG_ACCESS_DENIED         49  /* 0x31 */",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_024,R01,include/mbedtls/ssl.h,611,Hardcoded key/buffer size macro 'MBEDTLS_TLS_EXT_PRE_SHARED_KEY' value (41) is below PQC minimum requirements.,"     608: 
     609: #define MBEDTLS_TLS_EXT_SESSION_TICKET              35
     610: 
>>>  611: #define MBEDTLS_TLS_EXT_PRE_SHARED_KEY              41 /* RFC 8446 TLS 1.3 */
     612: #define MBEDTLS_TLS_EXT_EARLY_DATA                  42 /* RFC 8446 TLS 1.3 */
     613: #define MBEDTLS_TLS_EXT_SUPPORTED_VERSIONS          43 /* RFC 8446 TLS 1.3 */
     614: #define MBEDTLS_TLS_EXT_COOKIE                      44 /* RFC 8446 TLS 1.3 */",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_025,R01,include/mbedtls/ssl.h,615,Hardcoded key/buffer size macro 'MBEDTLS_TLS_EXT_PSK_KEY_EXCHANGE_MODES' value (45) is below PQC minimum requirements.,"     612: #define MBEDTLS_TLS_EXT_EARLY_DATA                  42 /* RFC 8446 TLS 1.3 */
     613: #define MBEDTLS_TLS_EXT_SUPPORTED_VERSIONS          43 /* RFC 8446 TLS 1.3 */
     614: #define MBEDTLS_TLS_EXT_COOKIE                      44 /* RFC 8446 TLS 1.3 */
>>>  615: #define MBEDTLS_TLS_EXT_PSK_KEY_EXCHANGE_MODES      45 /* RFC 8446 TLS 1.3 */
     616: 
     617: #define MBEDTLS_TLS_EXT_CERT_AUTH                   47 /* RFC 8446 TLS 1.3 */
     618: #define MBEDTLS_TLS_EXT_OID_FILTERS                 48 /* RFC 8446 TLS 1.3 */",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_026,R01,include/mbedtls/ssl.h,621,Hardcoded key/buffer size macro 'MBEDTLS_TLS_EXT_KEY_SHARE' value (51) is below PQC minimum requirements.,"     618: #define MBEDTLS_TLS_EXT_OID_FILTERS                 48 /* RFC 8446 TLS 1.3 */
     619: #define MBEDTLS_TLS_EXT_POST_HANDSHAKE_AUTH         49 /* RFC 8446 TLS 1.3 */
     620: #define MBEDTLS_TLS_EXT_SIG_ALG_CERT                50 /* RFC 8446 TLS 1.3 */
>>>  621: #define MBEDTLS_TLS_EXT_KEY_SHARE                   51 /* RFC 8446 TLS 1.3 */
     622: 
     623: #if MBEDTLS_SSL_DTLS_CONNECTION_ID_COMPAT == 0
     624: #define MBEDTLS_TLS_EXT_CID                         54 /* RFC 9146 DTLS 1.2 CID */",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_027,R01,include/mbedtls/ssl.h,648,Hardcoded key/buffer size macro 'MBEDTLS_PSK_MAX_LEN' value (48) is below PQC minimum requirements.,"     645:     defined(MBEDTLS_SSL_SESSION_TICKETS) && \
     646:     defined(MBEDTLS_SSL_HAVE_AES) && defined(MBEDTLS_SSL_HAVE_GCM) && \
     647:     defined(MBEDTLS_MD_CAN_SHA384)
>>>  648: #define MBEDTLS_PSK_MAX_LEN 48 /* 384 bits */
     649: #else
     650: #define MBEDTLS_PSK_MAX_LEN 32 /* 256 bits */
     651: #endif",TP,low,Potential migration-relevant size/configuration limit touching public-key or key-exchange material.,llm_assisted_static_audit
mbedtls_028,R01,include/mbedtls/ssl_ticket.h,41,Hardcoded key/buffer size macro 'MBEDTLS_SSL_TICKET_MAX_KEY_BYTES' value (32) is below PQC minimum requirements.,"      38: extern ""C"" {
      39: #endif
      40: 
>>>   41: #define MBEDTLS_SSL_TICKET_MAX_KEY_BYTES 32          /*!< Max supported key length in bytes */
      42: #define MBEDTLS_SSL_TICKET_KEY_NAME_BYTES 4          /*!< key name length in bytes */
      43: 
      44: /**",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_029,R01,include/psa/crypto_adjust_auto_enabled.h,16,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_DERIVE' value (1) is below PQC minimum requirements.,"      13: #ifndef PSA_CRYPTO_ADJUST_AUTO_ENABLED_H
      14: #define PSA_CRYPTO_ADJUST_AUTO_ENABLED_H
      15: 
>>>   16: #define PSA_WANT_KEY_TYPE_DERIVE 1
      17: #define PSA_WANT_KEY_TYPE_PASSWORD 1
      18: #define PSA_WANT_KEY_TYPE_PASSWORD_HASH 1
      19: #define PSA_WANT_KEY_TYPE_RAW_DATA 1",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_030,R01,include/psa/crypto_adjust_auto_enabled.h,17,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_PASSWORD' value (1) is below PQC minimum requirements.,"      14: #define PSA_CRYPTO_ADJUST_AUTO_ENABLED_H
      15: 
      16: #define PSA_WANT_KEY_TYPE_DERIVE 1
>>>   17: #define PSA_WANT_KEY_TYPE_PASSWORD 1
      18: #define PSA_WANT_KEY_TYPE_PASSWORD_HASH 1
      19: #define PSA_WANT_KEY_TYPE_RAW_DATA 1
      20: ",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_031,R01,include/psa/crypto_adjust_config_key_pair_types.h,44,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_DH_KEY_PAIR_BASIC' value (1) is below PQC minimum requirements.,"      41:     defined(PSA_WANT_KEY_TYPE_DH_KEY_PAIR_EXPORT) || \
      42:     defined(PSA_WANT_KEY_TYPE_DH_KEY_PAIR_GENERATE) || \
      43:     defined(PSA_WANT_KEY_TYPE_DH_KEY_PAIR_DERIVE)
>>>   44: #define PSA_WANT_KEY_TYPE_DH_KEY_PAIR_BASIC 1
      45: #endif
      46: 
      47: /*****************************************************************",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_032,R01,include/psa/crypto_adjust_config_key_pair_types.h,56,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_RSA_PUBLIC_KEY' value (1) is below PQC minimum requirements.,"      53: #endif
      54: 
      55: #if defined(PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_BASIC)
>>>   56: #define PSA_WANT_KEY_TYPE_RSA_PUBLIC_KEY 1
      57: #endif
      58: 
      59: #if defined(PSA_WANT_KEY_TYPE_DH_KEY_PAIR_BASIC)",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_033,R01,include/psa/crypto_adjust_config_key_pair_types.h,60,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_DH_PUBLIC_KEY' value (1) is below PQC minimum requirements.,"      57: #endif
      58: 
      59: #if defined(PSA_WANT_KEY_TYPE_DH_KEY_PAIR_BASIC)
>>>   60: #define PSA_WANT_KEY_TYPE_DH_PUBLIC_KEY 1
      61: #endif
      62: 
      63: /*****************************************************************",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_034,R01,include/psa/crypto_config.h,126,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_DES' value (1) is below PQC minimum requirements.,"     123: #define PSA_WANT_KEY_TYPE_ARIA                  1
     124: #define PSA_WANT_KEY_TYPE_CAMELLIA              1
     125: #define PSA_WANT_KEY_TYPE_CHACHA20              1
>>>  126: #define PSA_WANT_KEY_TYPE_DES                   1
     127: //#define PSA_WANT_KEY_TYPE_ECC_KEY_PAIR          1 /* Deprecated */
     128: #define PSA_WANT_KEY_TYPE_ECC_PUBLIC_KEY        1
     129: #define PSA_WANT_KEY_TYPE_DH_PUBLIC_KEY         1",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_035,R01,include/psa/crypto_config.h,129,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_DH_PUBLIC_KEY' value (1) is below PQC minimum requirements.,"     126: #define PSA_WANT_KEY_TYPE_DES                   1
     127: //#define PSA_WANT_KEY_TYPE_ECC_KEY_PAIR          1 /* Deprecated */
     128: #define PSA_WANT_KEY_TYPE_ECC_PUBLIC_KEY        1
>>>  129: #define PSA_WANT_KEY_TYPE_DH_PUBLIC_KEY         1
     130: #define PSA_WANT_KEY_TYPE_RAW_DATA              1
     131: //#define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR          1 /* Deprecated */
     132: #define PSA_WANT_KEY_TYPE_RSA_PUBLIC_KEY        1",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_036,R01,include/psa/crypto_config.h,132,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_RSA_PUBLIC_KEY' value (1) is below PQC minimum requirements.,"     129: #define PSA_WANT_KEY_TYPE_DH_PUBLIC_KEY         1
     130: #define PSA_WANT_KEY_TYPE_RAW_DATA              1
     131: //#define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR          1 /* Deprecated */
>>>  132: #define PSA_WANT_KEY_TYPE_RSA_PUBLIC_KEY        1
     133: 
     134: /*
     135:  * The following symbols extend and deprecate the legacy",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_037,R01,include/psa/crypto_config.h,141,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_BASIC' value (1) is below PQC minimum requirements.,"     138:  * a generic suport, whereas other ones add more features on top of that and
     139:  * they are more specific.
     140:  */
>>>  141: #define PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_BASIC      1
     142: #define PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_IMPORT   1
     143: #define PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_EXPORT   1
     144: #define PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_GENERATE 1",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_038,R01,include/psa/crypto_config.h,149,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_EXPORT' value (1) is below PQC minimum requirements.,"     146: 
     147: #define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_BASIC      1
     148: #define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_IMPORT   1
>>>  149: #define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_EXPORT   1
     150: #define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_GENERATE 1
     151: //#define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_DERIVE   1 /* Not supported */
     152: ",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_039,R01,include/psa/crypto_extra.h,32,Hardcoded key/buffer size macro 'MBEDTLS_PSA_KEY_SLOT_COUNT' value (32) is below PQC minimum requirements.,"      29: 
      30: /* See mbedtls_config.h for definition */
      31: #if !defined(MBEDTLS_PSA_KEY_SLOT_COUNT)
>>>   32: #define MBEDTLS_PSA_KEY_SLOT_COUNT 32
      33: #endif
      34: 
      35: /** \addtogroup attributes",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
