commit_id,repo,commit_message,original_label,assisted_label,agreement,confidence,rationale,review_method
56c20aed,wolfSSL/wolfssl,Rust wrapper: dilithium: remove unnecessary size define presence checks,D1,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
3fbbc7c1,wolfSSL/wolfssl,Fix implicit conversion.,D8,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
67124cb8,aws/s2n-tls,Add more test cases for multiple certificates by name,D2,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
a816f329,wolfSSL/wolfssl,Merge pull request #4856 from anhu/stm32u5,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
0ddce4e8,open-quantum-safe/liboqs,Merge pull request #486 from dmjones/link-openssl,D8,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
20ae10fd,wolfSSL/wolfssl,Merge pull request #8360 from philljj/dual_alg_mldsa,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
af20d054,open-quantum-safe/oqs-provider,Full OQS project integration (#1),D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
7d42ddae,wolfSSL/wolfssl,Kyber/ML-KEM: make both available,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
d5dca7e9,open-quantum-safe/oqs-provider,remove default Kyber and Dilithium support (#603),D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
76941262,open-quantum-safe/liboqs,Adding multiple upstream support to doc generation (#1123),D7,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
2297d7a5,open-quantum-safe/liboqs,Dependabot configuration and dependency updates (#2420),D8,D8,true,low,Commit references build/configuration (D8) with 1 indicator(s).,llm_assisted_codebook_review
05dc9f04,wolfSSL/wolfssl,Fix memory leak in case of handshake error,D2,D5,false,medium,Commit references memory management (D5) with 2 indicator(s).,llm_assisted_codebook_review
7057138f,openssl/openssl,fips: defined for ML-KEM CASTs,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
a2635be9,wolfSSL/wolfssl,wolfCrypt support for external Kyber implementations (liboqs and pqm4),D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
f863513f,wolfSSL/wolfssl,Kyber: Improve performance of C implementation,D4,D4,true,low,Commit references timing/performance (D4) with 1 indicator(s).,llm_assisted_codebook_review
416778ec,open-quantum-safe/liboqs,Trigger liboqs-java and liboqs-rust downstream CI (#2021),D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
46f63203,wolfSSL/wolfssl,Fix PQC hybrid KeyShare pointer sanity.,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
4d8243d9,aws/s2n-tls,Add Kyber Round 2 TLS Security Policy (#2138),D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
045c08e1,open-quantum-safe/liboqs,Merge pull request #521 from open-quantum-safe/ds-sphincs,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
b2ad3f97,open-quantum-safe/liboqs,Fix SPHINCS+ constant-time suppression files (#1480),D6,D6,true,low,Commit references side-channel/security (D6) with 1 indicator(s).,llm_assisted_codebook_review
3f28cc6e,openssl/openssl,Test ML-DSA; SLH-DSA; and ML-KEM PCT implementations,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
4d3d1c9f,openssl/openssl,ml_dsa_kmgmt: check params against len and not pointers in ml_dsa_key_fromdata,D1,D5,false,low,Commit references memory management (D5) with 1 indicator(s).,llm_assisted_codebook_review
0780fd97,wolfSSL/wolfssl,liboqs: add RNG support for sphincs,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
5f28a2af,open-quantum-safe/liboqs,liboqs 0.6.0-rc1,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
76b1300a,wolfSSL/wolfssl,ML-KEM fixes,D2,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
c62031ee,open-quantum-safe/liboqs,Include DeriveEncapsulation functionality (Issue #2135) (#2221),D2,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
e2b642d4,wolfSSL/wolfssl,WolfSSL Kyber and CMake fixes,D8,D8,true,low,Commit references build/configuration (D8) with 1 indicator(s).,llm_assisted_codebook_review
db6df887,wolfSSL/wolfssl,Correct kyber levels. Was copy and paste error.,D7,D7,true,low,Commit references error handling (D7) with 1 indicator(s).,llm_assisted_codebook_review
9f308995,open-quantum-safe/liboqs,Merge pull request #539 from open-quantum-safe/vsoftco-update-contributors,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
4b00525e,wolfSSL/wolfssl,Merge pull request #10407 from Frauschi/Wconversion,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
15e24d18,open-quantum-safe/oqs-provider,Remove SPHINCS+ (#740),D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
3524ece5,wolfSSL/wolfssl,Fix PQC key exchange with multiple KEM key shares,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
ef925b8b,wolfSSL/wolfssl,wolfcrypt/src/wc_kyber_poly.c: fix bugprone-macro-parentheses for FROM_MSG_BIT.,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
a2079b82,openssl/openssl,Drop value barrier from ML-DSA reduce_once,D4,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
00abce34,wolfSSL/wolfssl,Merge pull request #10310 from cconlon/d2iMLDSA,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
d20cbc90,openssl/openssl,Fix ML-KEM key equality check when either unset,D7,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
85dd9233,wolfSSL/wolfssl,cryptocb: always run software cleanup in key Free functions,D2,D5,false,low,Commit references memory management (D5) with 1 indicator(s).,llm_assisted_codebook_review
bd8954bf,openssl/openssl,ML-DSA: Change ossl_ml_dsa_key_public_from_private() to check that the,D7,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
a0fc1ff3,openssl/openssl,Teach SSL_trace() about ML-DSA,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
2e2ddb4e,open-quantum-safe/liboqs,Update Kyber and Dilithium from upstream (#1316),D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
7c56bcb6,open-quantum-safe/liboqs,Test against all 100 KAT values (#1560),D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
ce0234e4,aws/s2n-tls,Add ML-KEM Feature Probe and Test (#4823),D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
8a894704,wolfSSL/wolfssl,Fix for liboqs on zephyr,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
39d4832b,wolfSSL/wolfssl,Merge pull request #8207 from bigbrett/dilithium-nightly-fixes,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
0b18e250,wolfSSL/wolfssl,Merge pull request #6576 from iyanmv/liboqs-1.8,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
211742bf,wolfSSL/wolfssl,liboqs depends on pthreads now,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
e9292e30,wolfSSL/wolfssl,add _new/_delete API for ML-KEM/ML-DSA,D2,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
77524aea,open-quantum-safe/liboqs,Merge pull request #524 from open-quantum-safe/ds-backout-ledakem,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
5793f626,wolfSSL/wolfssl,Merge pull request #7677 from Laboratory-for-Safe-and-Secure-Systems/mldsa_fixes,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
09562078,open-quantum-safe/liboqs,Merge branch 'master' of https://github.com/open-quantum-safe/liboqs,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
326f5dca,open-quantum-safe/liboqs,Merge pull request #496 from open-quantum-safe/ds-aes-fix-compilation,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
795c1b79,open-quantum-safe/liboqs,Add Falcon from PQClean (#660),D8,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
d6ecaadd,wolfSSL/wolfssl,Merge pull request #7740 from JacobBarthelmeh/readme,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
ab2c96a6,open-quantum-safe/liboqs,Replace the Kyber768 implementation in liboqs master with PQClean's implementation (#466),D8,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
3b3680c6,openssl/openssl,ML-DSA: Refactor to use function pointers for AVX2/scalar NTT,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
80a04551,wolfSSL/wolfssl,Merge pull request #10405 from SparkiDev/mlkem_fixes_1,D2,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
d9c214cc,open-quantum-safe/liboqs,Add ML-DSA / FIPS 204 final (#1919),D2,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
1aacc6ea,open-quantum-safe/oqs-provider,Disable Kyber,D9,D8,false,low,Commit references build/configuration (D8) with 1 indicator(s).,llm_assisted_codebook_review
328822b4,wolfSSL/wolfssl,Merge pull request #10047 from Frauschi/mldsa_no_ctx,D2,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
cceeb776,wolfSSL/wolfssl,gate dilithium OID autodetection on FIPS 204 draft mode,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
a822f0e6,open-quantum-safe/liboqs,PQClean / NTRU Prime update (#1039),D2,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
bcf4dbe6,wolfSSL/wolfssl,Changes inspired by Feedback from Sean.,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
3e3a00da,wolfSSL/wolfssl,Dilithium/ML-DSA: Implementation of ML-DSA-44/65/87,D2,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
d14825a7,open-quantum-safe/liboqs,Pull Falcon updates from PQClean (#1523),D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
1ed497ce,open-quantum-safe/liboqs,Merge branch 'master' of https://github.com/open-quantum-safe/liboqs,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
9901a286,open-quantum-safe/liboqs,Use explicit_memset if available. NetBSD has support for it: (#1872),D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
f6434cf7,wolfSSL/wolfssl,Merge pull request #8639 from anhu/cmake_pq,D8,D8,true,low,Commit references build/configuration (D8) with 1 indicator(s).,llm_assisted_codebook_review
37579e12,open-quantum-safe/liboqs,Merge pull request #491 from open-quantum-safe/ds-update-kems,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
4d259da6,wolfSSL/wolfssl,PQC: CryptoCb support for KEM algorithm Kyber,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
7268d0af,aws/s2n-tls,Merge pull request #1041 from andrewhop/readme,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
4bf202bd,open-quantum-safe/oqs-provider,Generate (also historical) (O)ID tables (#167),D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
c71c2ada,open-quantum-safe/oqs-provider,update Falcon IDs (#125),D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
80a63a3f,wolfSSL/wolfssl,Merge pull request #7924 from anhu/pqm4_purge,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
da427efd,wolfSSL/wolfssl,Add LMS; XMSS and ML-DSA to Wconversion,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
7bd4efbf,aws/s2n-tls,Add Kyber Round 3 Fuzz Tests (#2958),D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
7d3ee74a,wolfSSL/wolfssl,Aarch64 ASM: Use CPU features for more,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
a8c001ec,open-quantum-safe/oqs-provider,Update to ensure hybrid kex interop; updates for OpenSSL master (#24),D7,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
d620e937,wolfSSL/wolfssl,Merge pull request #8229 from bigbrett/pqc-macro-protection-quickfix,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
5339fe0d,wolfSSL/wolfssl,Merge pull request #6715 from anhu/WOLFSSL_NO_SPHINCS,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
7cd610bc,wolfSSL/wolfssl,Fixes for WolfSSL ML-DSA implementation,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
2a2f9d59,wolfSSL/wolfssl,ML-KEM compatibility,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
c7e054a7,wolfSSL/wolfssl,Rename ML-KEM hybrids to match IETF Draft.,D9,D2,false,low,Commit references API interface changes (D2) with 1 indicator(s).,llm_assisted_codebook_review
db08f12b,open-quantum-safe/liboqs,liboqs 0.8.0 release,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
4fc06921,openssl/openssl,ml-kem: update to use improved parameter handling,D2,D2,true,low,Commit references API interface changes (D2) with 1 indicator(s).,llm_assisted_codebook_review
38757741,open-quantum-safe/liboqs,Add new KEM API and SIKE (#295),D2,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
c899f79c,wolfSSL/wolfssl,Update key share group ranking algorithm,D2,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
8e9e671a,wolfSSL/wolfssl,Merge pull request #8853 from JacobBarthelmeh/pqc,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
255b836e,open-quantum-safe/liboqs,Merge pull request #563 from open-quantum-safe/vsoftco-patch-1,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
71c8b7cd,open-quantum-safe/liboqs,Rename algorithms in Dilithium datasheet,D9,D2,false,low,Commit references API interface changes (D2) with 1 indicator(s).,llm_assisted_codebook_review
4551926d,wolfSSL/wolfssl,Fix inverted logic in Sphincs and Falcon,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
e66097fc,openssl/openssl,s3_lib.c: Use illegal_parameter for failing encapsulation in ml_kem,D9,D2,false,low,Commit references API interface changes (D2) with 1 indicator(s).,llm_assisted_codebook_review
f96d9c2f,open-quantum-safe/liboqs,Revert 'Update Falcon to 20230207 (PQClean commit 96dfee95cc56207d1ec5e3a2df306d6614ad7c6c) (#1386)' (#1392),D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
14d64d37,open-quantum-safe/liboqs,Fix gcc 11 error for Kyber on arm64 (#1127),D7,D7,true,low,Commit references error handling (D7) with 1 indicator(s).,llm_assisted_codebook_review
f7ea8fca,wolfSSL/wolfssl,Explicitly declare dilithium_coeff_eta2[] as signed,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
1e9607b6,wolfSSL/wolfssl,Fixes for ML-DSA and LMS cast warnings and spelling errors.,D9,D7,false,low,Commit references error handling (D7) with 1 indicator(s).,llm_assisted_codebook_review
fb691fac,wolfSSL/wolfssl,Merge pull request #8947 from SparkiDev/mldsa_openssl_der,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
bbd2f6f8,wolfSSL/wolfssl,Fixes from regression testing,D1,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
1bd2a1bc,open-quantum-safe/oqs-provider,switch doc to release; add backlevel liboqs support (#544),D2,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
bac716cc,open-quantum-safe/liboqs,Add section to CONFIGURE.md link (#1578),D7,D8,false,medium,Commit references build/configuration (D8) with 2 indicator(s).,llm_assisted_codebook_review
3cb781fd,open-quantum-safe/liboqs,Update pytest package version (#2408),D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
