finding_id,rule,file,line,message,code_snippet,assisted_verdict,confidence,rationale,review_method
mbedtls_filtered_010,R01,include/mbedtls/config_adjust_psa_from_legacy.h,169,Hardcoded key/buffer size macro 'MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_KEY_PAIR_EXPORT' value (1) is below PQC minimum requirements.,"     166: #endif /* MBEDTLS_GENPRIME */
     167: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_KEY_PAIR_BASIC 1
     168: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_KEY_PAIR_IMPORT 1
>>>  169: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_KEY_PAIR_EXPORT 1
     170: #define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_BASIC 1
     171: #define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_IMPORT 1
     172: #define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_EXPORT 1",TP,low,Potential migration-relevant size/configuration limit touching public-key or key-exchange material.,filtered_llm_assisted_static_audit
mbedtls_filtered_011,R01,include/mbedtls/ssl.h,330,Hardcoded key/buffer size macro 'MBEDTLS_SSL_CERT_REQ_CA_LIST_ENABLED' value (1) is below PQC minimum requirements.,"     327: #define MBEDTLS_SSL_PRESET_DEFAULT              0
     328: #define MBEDTLS_SSL_PRESET_SUITEB               2
     329: 
>>>  330: #define MBEDTLS_SSL_CERT_REQ_CA_LIST_ENABLED       1
     331: #define MBEDTLS_SSL_CERT_REQ_CA_LIST_DISABLED      0
     332: 
     333: #define MBEDTLS_SSL_EARLY_DATA_DISABLED        0",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_012,R01,include/mbedtls/ssl.h,346,Hardcoded key/buffer size macro 'MBEDTLS_SSL_TLS1_3_TICKET_RESUMPTION_KEY_LEN' value (32) is below PQC minimum requirements.,"     343: #if defined(PSA_WANT_ALG_SHA_384)
     344: #define MBEDTLS_SSL_TLS1_3_TICKET_RESUMPTION_KEY_LEN        48
     345: #elif defined(PSA_WANT_ALG_SHA_256)
>>>  346: #define MBEDTLS_SSL_TLS1_3_TICKET_RESUMPTION_KEY_LEN        32
     347: #endif
     348: #endif /* MBEDTLS_SSL_PROTO_TLS1_3 && MBEDTLS_SSL_SESSION_TICKETS */
     349: /*",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_013,R01,include/mbedtls/ssl.h,475,Hardcoded key/buffer size macro 'MBEDTLS_SSL_SIG_RSA' value (1) is below PQC minimum requirements.,"     472: #define MBEDTLS_SSL_HASH_SHA512              6
     473: 
     474: #define MBEDTLS_SSL_SIG_ANON                 0
>>>  475: #define MBEDTLS_SSL_SIG_RSA                  1
     476: #define MBEDTLS_SSL_SIG_ECDSA                3
     477: 
     478: /*",TP,low,Potential migration-relevant size/configuration limit touching public-key or key-exchange material.,filtered_llm_assisted_static_audit
mbedtls_filtered_014,R01,include/mbedtls/ssl.h,517,Hardcoded key/buffer size macro 'MBEDTLS_SSL_CERT_TYPE_RSA_SIGN' value (1) is below PQC minimum requirements.,"     514:  * Client Certificate Types
     515:  * RFC 5246 section 7.4.4 plus RFC 4492 section 5.5
     516:  */
>>>  517: #define MBEDTLS_SSL_CERT_TYPE_RSA_SIGN       1
     518: #define MBEDTLS_SSL_CERT_TYPE_ECDSA_SIGN    64
     519: 
     520: /*",TP,low,Potential migration-relevant size/configuration limit touching public-key or key-exchange material.,filtered_llm_assisted_static_audit
mbedtls_filtered_015,R01,include/mbedtls/ssl.h,518,Hardcoded key/buffer size macro 'MBEDTLS_SSL_CERT_TYPE_ECDSA_SIGN' value (64) is below PQC minimum requirements.,"     515:  * RFC 5246 section 7.4.4 plus RFC 4492 section 5.5
     516:  */
     517: #define MBEDTLS_SSL_CERT_TYPE_RSA_SIGN       1
>>>  518: #define MBEDTLS_SSL_CERT_TYPE_ECDSA_SIGN    64
     519: 
     520: /*
     521:  * Message, alert and handshake types",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_016,R01,include/mbedtls/ssl.h,533,Hardcoded key/buffer size macro 'MBEDTLS_SSL_ALERT_MSG_UNEXPECTED_MESSAGE' value (10) is below PQC minimum requirements.,"     530: #define MBEDTLS_SSL_ALERT_LEVEL_FATAL           2
     531: 
     532: #define MBEDTLS_SSL_ALERT_MSG_CLOSE_NOTIFY           0  /* 0x00 */
>>>  533: #define MBEDTLS_SSL_ALERT_MSG_UNEXPECTED_MESSAGE    10  /* 0x0A */
     534: #define MBEDTLS_SSL_ALERT_MSG_BAD_RECORD_MAC        20  /* 0x14 */
     535: #define MBEDTLS_SSL_ALERT_MSG_DECRYPTION_FAILED     21  /* 0x15 */
     536: #define MBEDTLS_SSL_ALERT_MSG_RECORD_OVERFLOW       22  /* 0x16 */",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_017,R01,include/mbedtls/ssl.h,539,Hardcoded key/buffer size macro 'MBEDTLS_SSL_ALERT_MSG_NO_CERT' value (41) is below PQC minimum requirements.,"     536: #define MBEDTLS_SSL_ALERT_MSG_RECORD_OVERFLOW       22  /* 0x16 */
     537: #define MBEDTLS_SSL_ALERT_MSG_DECOMPRESSION_FAILURE 30  /* 0x1E */
     538: #define MBEDTLS_SSL_ALERT_MSG_HANDSHAKE_FAILURE     40  /* 0x28 */
>>>  539: #define MBEDTLS_SSL_ALERT_MSG_NO_CERT               41  /* 0x29 */
     540: #define MBEDTLS_SSL_ALERT_MSG_BAD_CERT              42  /* 0x2A */
     541: #define MBEDTLS_SSL_ALERT_MSG_UNSUPPORTED_CERT      43  /* 0x2B */
     542: #define MBEDTLS_SSL_ALERT_MSG_CERT_REVOKED          44  /* 0x2C */",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_018,R01,include/mbedtls/ssl.h,540,Hardcoded key/buffer size macro 'MBEDTLS_SSL_ALERT_MSG_BAD_CERT' value (42) is below PQC minimum requirements.,"     537: #define MBEDTLS_SSL_ALERT_MSG_DECOMPRESSION_FAILURE 30  /* 0x1E */
     538: #define MBEDTLS_SSL_ALERT_MSG_HANDSHAKE_FAILURE     40  /* 0x28 */
     539: #define MBEDTLS_SSL_ALERT_MSG_NO_CERT               41  /* 0x29 */
>>>  540: #define MBEDTLS_SSL_ALERT_MSG_BAD_CERT              42  /* 0x2A */
     541: #define MBEDTLS_SSL_ALERT_MSG_UNSUPPORTED_CERT      43  /* 0x2B */
     542: #define MBEDTLS_SSL_ALERT_MSG_CERT_REVOKED          44  /* 0x2C */
     543: #define MBEDTLS_SSL_ALERT_MSG_CERT_EXPIRED          45  /* 0x2D */",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_019,R01,include/mbedtls/ssl.h,541,Hardcoded key/buffer size macro 'MBEDTLS_SSL_ALERT_MSG_UNSUPPORTED_CERT' value (43) is below PQC minimum requirements.,"     538: #define MBEDTLS_SSL_ALERT_MSG_HANDSHAKE_FAILURE     40  /* 0x28 */
     539: #define MBEDTLS_SSL_ALERT_MSG_NO_CERT               41  /* 0x29 */
     540: #define MBEDTLS_SSL_ALERT_MSG_BAD_CERT              42  /* 0x2A */
>>>  541: #define MBEDTLS_SSL_ALERT_MSG_UNSUPPORTED_CERT      43  /* 0x2B */
     542: #define MBEDTLS_SSL_ALERT_MSG_CERT_REVOKED          44  /* 0x2C */
     543: #define MBEDTLS_SSL_ALERT_MSG_CERT_EXPIRED          45  /* 0x2D */
     544: #define MBEDTLS_SSL_ALERT_MSG_CERT_UNKNOWN          46  /* 0x2E */",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_020,R01,include/mbedtls/ssl.h,542,Hardcoded key/buffer size macro 'MBEDTLS_SSL_ALERT_MSG_CERT_REVOKED' value (44) is below PQC minimum requirements.,"     539: #define MBEDTLS_SSL_ALERT_MSG_NO_CERT               41  /* 0x29 */
     540: #define MBEDTLS_SSL_ALERT_MSG_BAD_CERT              42  /* 0x2A */
     541: #define MBEDTLS_SSL_ALERT_MSG_UNSUPPORTED_CERT      43  /* 0x2B */
>>>  542: #define MBEDTLS_SSL_ALERT_MSG_CERT_REVOKED          44  /* 0x2C */
     543: #define MBEDTLS_SSL_ALERT_MSG_CERT_EXPIRED          45  /* 0x2D */
     544: #define MBEDTLS_SSL_ALERT_MSG_CERT_UNKNOWN          46  /* 0x2E */
     545: #define MBEDTLS_SSL_ALERT_MSG_ILLEGAL_PARAMETER     47  /* 0x2F */",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_021,R01,include/mbedtls/ssl.h,543,Hardcoded key/buffer size macro 'MBEDTLS_SSL_ALERT_MSG_CERT_EXPIRED' value (45) is below PQC minimum requirements.,"     540: #define MBEDTLS_SSL_ALERT_MSG_BAD_CERT              42  /* 0x2A */
     541: #define MBEDTLS_SSL_ALERT_MSG_UNSUPPORTED_CERT      43  /* 0x2B */
     542: #define MBEDTLS_SSL_ALERT_MSG_CERT_REVOKED          44  /* 0x2C */
>>>  543: #define MBEDTLS_SSL_ALERT_MSG_CERT_EXPIRED          45  /* 0x2D */
     544: #define MBEDTLS_SSL_ALERT_MSG_CERT_UNKNOWN          46  /* 0x2E */
     545: #define MBEDTLS_SSL_ALERT_MSG_ILLEGAL_PARAMETER     47  /* 0x2F */
     546: #define MBEDTLS_SSL_ALERT_MSG_UNKNOWN_CA            48  /* 0x30 */",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_022,R01,include/mbedtls/ssl.h,571,Hardcoded key/buffer size macro 'MBEDTLS_SSL_HS_CERTIFICATE' value (11) is below PQC minimum requirements.,"     568: #define MBEDTLS_SSL_HS_NEW_SESSION_TICKET       4
     569: #define MBEDTLS_SSL_HS_END_OF_EARLY_DATA        5
     570: #define MBEDTLS_SSL_HS_ENCRYPTED_EXTENSIONS     8
>>>  571: #define MBEDTLS_SSL_HS_CERTIFICATE             11
     572: #define MBEDTLS_SSL_HS_SERVER_KEY_EXCHANGE     12
     573: #define MBEDTLS_SSL_HS_CERTIFICATE_REQUEST     13
     574: #define MBEDTLS_SSL_HS_SERVER_HELLO_DONE       14",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_023,R01,include/mbedtls/ssl.h,572,Hardcoded key/buffer size macro 'MBEDTLS_SSL_HS_SERVER_KEY_EXCHANGE' value (12) is below PQC minimum requirements.,"     569: #define MBEDTLS_SSL_HS_END_OF_EARLY_DATA        5
     570: #define MBEDTLS_SSL_HS_ENCRYPTED_EXTENSIONS     8
     571: #define MBEDTLS_SSL_HS_CERTIFICATE             11
>>>  572: #define MBEDTLS_SSL_HS_SERVER_KEY_EXCHANGE     12
     573: #define MBEDTLS_SSL_HS_CERTIFICATE_REQUEST     13
     574: #define MBEDTLS_SSL_HS_SERVER_HELLO_DONE       14
     575: #define MBEDTLS_SSL_HS_CERTIFICATE_VERIFY      15",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_024,R01,include/mbedtls/ssl.h,573,Hardcoded key/buffer size macro 'MBEDTLS_SSL_HS_CERTIFICATE_REQUEST' value (13) is below PQC minimum requirements.,"     570: #define MBEDTLS_SSL_HS_ENCRYPTED_EXTENSIONS     8
     571: #define MBEDTLS_SSL_HS_CERTIFICATE             11
     572: #define MBEDTLS_SSL_HS_SERVER_KEY_EXCHANGE     12
>>>  573: #define MBEDTLS_SSL_HS_CERTIFICATE_REQUEST     13
     574: #define MBEDTLS_SSL_HS_SERVER_HELLO_DONE       14
     575: #define MBEDTLS_SSL_HS_CERTIFICATE_VERIFY      15
     576: #define MBEDTLS_SSL_HS_CLIENT_KEY_EXCHANGE     16",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_025,R01,include/mbedtls/ssl.h,575,Hardcoded key/buffer size macro 'MBEDTLS_SSL_HS_CERTIFICATE_VERIFY' value (15) is below PQC minimum requirements.,"     572: #define MBEDTLS_SSL_HS_SERVER_KEY_EXCHANGE     12
     573: #define MBEDTLS_SSL_HS_CERTIFICATE_REQUEST     13
     574: #define MBEDTLS_SSL_HS_SERVER_HELLO_DONE       14
>>>  575: #define MBEDTLS_SSL_HS_CERTIFICATE_VERIFY      15
     576: #define MBEDTLS_SSL_HS_CLIENT_KEY_EXCHANGE     16
     577: #define MBEDTLS_SSL_HS_FINISHED                20
     578: #define MBEDTLS_SSL_HS_MESSAGE_HASH           254",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_026,R01,include/mbedtls/ssl.h,576,Hardcoded key/buffer size macro 'MBEDTLS_SSL_HS_CLIENT_KEY_EXCHANGE' value (16) is below PQC minimum requirements.,"     573: #define MBEDTLS_SSL_HS_CERTIFICATE_REQUEST     13
     574: #define MBEDTLS_SSL_HS_SERVER_HELLO_DONE       14
     575: #define MBEDTLS_SSL_HS_CERTIFICATE_VERIFY      15
>>>  576: #define MBEDTLS_SSL_HS_CLIENT_KEY_EXCHANGE     16
     577: #define MBEDTLS_SSL_HS_FINISHED                20
     578: #define MBEDTLS_SSL_HS_MESSAGE_HASH           254
     579: ",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_027,R01,include/mbedtls/ssl.h,595,Hardcoded key/buffer size macro 'MBEDTLS_TLS_EXT_SIG_ALG' value (13) is below PQC minimum requirements.,"     592: #define MBEDTLS_TLS_EXT_SUPPORTED_GROUPS            10 /* RFC 8422,7919 TLS 1.2 and 1.3 */
     593: #define MBEDTLS_TLS_EXT_SUPPORTED_POINT_FORMATS     11
     594: 
>>>  595: #define MBEDTLS_TLS_EXT_SIG_ALG                     13 /* RFC 8446 TLS 1.3 */
     596: #define MBEDTLS_TLS_EXT_USE_SRTP                    14
     597: #define MBEDTLS_TLS_EXT_HEARTBEAT                   15 /* RFC 6520 TLS 1.2 and 1.3 */
     598: #define MBEDTLS_TLS_EXT_ALPN                        16",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_028,R01,include/mbedtls/ssl.h,648,Hardcoded key/buffer size macro 'MBEDTLS_PSK_MAX_LEN' value (48) is below PQC minimum requirements.,"     645:     defined(MBEDTLS_SSL_SESSION_TICKETS) && \
     646:     defined(MBEDTLS_SSL_HAVE_AES) && defined(MBEDTLS_SSL_HAVE_GCM) && \
     647:     defined(MBEDTLS_MD_CAN_SHA384)
>>>  648: #define MBEDTLS_PSK_MAX_LEN 48 /* 384 bits */
     649: #else
     650: #define MBEDTLS_PSK_MAX_LEN 32 /* 256 bits */
     651: #endif",TP,low,Potential migration-relevant size/configuration limit touching public-key or key-exchange material.,filtered_llm_assisted_static_audit
mbedtls_filtered_029,R01,include/mbedtls/ssl_ticket.h,41,Hardcoded key/buffer size macro 'MBEDTLS_SSL_TICKET_MAX_KEY_BYTES' value (32) is below PQC minimum requirements.,"      38: extern ""C"" {
      39: #endif
      40: 
>>>   41: #define MBEDTLS_SSL_TICKET_MAX_KEY_BYTES 32          /*!< Max supported key length in bytes */
      42: #define MBEDTLS_SSL_TICKET_KEY_NAME_BYTES 4          /*!< key name length in bytes */
      43: 
      44: /**",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_030,R01,include/mbedtls/ssl_ticket.h,42,Hardcoded key/buffer size macro 'MBEDTLS_SSL_TICKET_KEY_NAME_BYTES' value (4) is below PQC minimum requirements.,"      39: #endif
      40: 
      41: #define MBEDTLS_SSL_TICKET_MAX_KEY_BYTES 32          /*!< Max supported key length in bytes */
>>>   42: #define MBEDTLS_SSL_TICKET_KEY_NAME_BYTES 4          /*!< key name length in bytes */
      43: 
      44: /**
      45:  * \brief   Information for session ticket protection",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_031,R01,include/psa/crypto_extra.h,413,Hardcoded key/buffer size macro 'PSA_PAKE_OPERATION_STAGE_COLLECT_INPUTS' value (1) is below PQC minimum requirements.,"     410: 
     411: /** PAKE operation stages. */
     412: #define PSA_PAKE_OPERATION_STAGE_SETUP 0
>>>  413: #define PSA_PAKE_OPERATION_STAGE_COLLECT_INPUTS 1
     414: #define PSA_PAKE_OPERATION_STAGE_COMPUTATION 2
     415: 
     416: /**@}*/",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_032,R01,include/psa/crypto_sizes.h,984,Hardcoded key/buffer size macro 'PSA_EXPORT_KEY_PAIR_MAX_SIZE' value (1) is below PQC minimum requirements.,"     981:  *
     982:  * See also #PSA_EXPORT_KEY_OUTPUT_SIZE(\p key_type, \p key_bits).
     983:  */
>>>  984: #define PSA_EXPORT_KEY_PAIR_MAX_SIZE            1
     985: 
     986: #if defined(PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_BASIC) && \
     987:     (PSA_KEY_EXPORT_ECC_KEY_PAIR_MAX_SIZE(PSA_VENDOR_ECC_MAX_CURVE_BITS) > \",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_033,R01,include/psa/crypto_sizes.h,1017,Hardcoded key/buffer size macro 'PSA_EXPORT_PUBLIC_KEY_MAX_SIZE' value (1) is below PQC minimum requirements.,"    1014:  *
    1015:  * See also #PSA_EXPORT_PUBLIC_KEY_OUTPUT_SIZE(\p key_type, \p key_bits).
    1016:  */
>>> 1017: #define PSA_EXPORT_PUBLIC_KEY_MAX_SIZE            1
    1018: 
    1019: #if defined(PSA_WANT_KEY_TYPE_ECC_PUBLIC_KEY) && \
    1020:     (PSA_KEY_EXPORT_ECC_PUBLIC_KEY_MAX_SIZE(PSA_VENDOR_ECC_MAX_CURVE_BITS) > \",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
